entity_id,canonical_metabolite,SMILES,KEGG ID,InChIKey,Kingdom,Superclass,Class,Subclass,primary_pathway
IK_AADLTHQNYQJHQV-SVLGDMRNSA-N,SM d38:1,CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](/C=C/CCCCCCCCCCCCC)O,C00550,AADLTHQNYQJHQV-SVLGDMRNSA-N,Organic compounds,Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,Sphingolipid metabolism
IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N,Diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,C06948,AAOVKJBEBIDNHE-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Benzodiazepines,"1,4-benzodiazepines",
IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N,Quinic Acid,C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O,C00296,AAWZDTNXLSGCEK-LNVDRNJUSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,
IK_ABFZMYIIUREPLL-ASWJIRIHSA-N,Glycochenodeoxycholic acid 3-glucuronide,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C)O)C,C03033,ABFZMYIIUREPLL-ASWJIRIHSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal glycosides,Ascorbate and aldarate metabolism
IK_ABOLXXZAJIAUGR-JPMMFUSZSA-N,Ibuprofen glucuronide,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O,C03033,ABOLXXZAJIAUGR-JPMMFUSZSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Ascorbate and aldarate metabolism
IK_ACSFOIGNUQUIGE-AIPUTVCKSA-N,Dihydrocortisol,C[C@]12CCC(=O)C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,C05471,ACSFOIGNUQUIGE-AIPUTVCKSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Steroid hormone biosynthesis
IK_ACVGWSKVRYFWRP-UHFFFAOYSA-N,Rutaecarpine,C1CN2C(=NC3=CC=CC=C3C2=O)C4=C1C5=CC=CC=C5N4,C09238,ACVGWSKVRYFWRP-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Pyridoindoles,
IK_ACXPNSWGVZLPRG-UHFFFAOYSA-N,3-Hydroxyeicosanoylcarnitine,CCCCCCCCCCCCCCCCCC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O,,ACXPNSWGVZLPRG-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,
IK_ADEORFBTPGKHRP-UHFFFAOYSA-N,"1H-Pyrrole-2,5-dione, 1-[7-(dimethylamino)-4-methyl-2-oxo-2H-1-benzopyran-3-yl]-",CC1=C(C(=O)OC2=C1C=CC(=C2)N(C)C)N3C(=O)C=CC3=O,,ADEORFBTPGKHRP-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,,
IK_ADFXKUOMJKEIND-UHFFFAOYSA-N,"N,N'-Dicyclohexylurea",C1CCC(CC1)NC(=O)NC2CCCCC2,C01034,ADFXKUOMJKEIND-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas,
