"from","to","weight"
"IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N","IK_NIOYUNMRJMEDGI-UHFFFAOYSA-N",0.0204081632653061
"IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N","IK_QQHJDPROMQRDLA-UHFFFAOYSA-N",0.0204081632653061
"IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N","IK_SZVNKXCDJUBPQO-HWKANZROSA-N",0.0204081632653061
"IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N","IK_VQDBNKDJNJQRDG-UHFFFAOYSA-N",0.0204081632653061
"IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N","UNKNOWN_ROW__24167579__unknown_46",0.0204081632653061
"IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N","UNKNOWN_ROW__35829770__unknown_420",0.0204081632653061
"IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N","IK_CVXBEEMKQHEXEN-UHFFFAOYSA-N",0.00694444444444444
"IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N","IK_GBDRMPRTNVKBAD-BYPYZUCNSA-N",0.00694444444444444
"IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N","IK_HYVABZIGRDEKCD-UHFFFAOYSA-N",0.00694444444444444
"IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N","IK_PAJPWUMXBYXFCZ-UHFFFAOYSA-N",0.00694444444444444
"IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N","IK_RCFDOSNHHZGBOY-ACZMJKKPSA-N",0.00694444444444444
"IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N","IK_XULZWQRXYTVUTE-UHFFFAOYSA-N",0.00694444444444444
"IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N","IK_ZRKZFNZPJKEWPC-UHFFFAOYSA-N",0.00694444444444444
"IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N","UNKNOWN_ROW__24167579__unknown_31",0.00694444444444444
"IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N","UNKNOWN_ROW__35829770__unknown_297",0.00694444444444444
"IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N","UNKNOWN_ROW__35829770__unknown_381",0.00694444444444444
"IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N","UNKNOWN_ROW__35829770__unknown_392",0.00694444444444444
