"entity_id","PD_score","consistently_altered","majority_direction","n_studies_detected","is_known_drug","has_formula","has_SMILES","has_HMDB","has_KEGG","has_PubChem","annotation_score"
"IK_JQXBETDGCMQLMK-UHFFFAOYSA-N",100,TRUE,"up",2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"IK_RVEKLXYYCHAMDF-UTOQUPLUSA-N",96.6230004420487,FALSE,"down",1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,3
"IK_CGQCWMIAEPEHNQ-UHFFFAOYSA-N",96.3638167447431,TRUE,"up",2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_MBMBGCFOFBJSGT-KUBAVDMBSA-N",96.3285996020924,TRUE,"down",3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"IK_ZFXYFBGIUFBOJW-UHFFFAOYSA-N",94.2225115212875,TRUE,"down",3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_IVEOBKYBCRMTLK-ZPMDXPHCSA-N",92.3077548073992,FALSE,"up",2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,3
"IK_RHGKLRLOHDJJDR-BYPYZUCNSA-N",91.1840254355449,FALSE,"up",3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_BITHHVVYSMSWAG-KTKRTIGZSA-N",88.1273605988325,FALSE,"up",2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,3
"IK_JPAUCQAJHLSMQW-XPORZQOISA-N",86.0298124277939,TRUE,"up",2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
"IK_PFDUUKDQEHURQC-ZETCQYMHSA-N",84.0704031138307,TRUE,"up",3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4
"IK_DUUGKQCEGZLZNO-UHFFFAOYSA-N",82.8128320704187,FALSE,"up",3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_QIVBCDIJIAJPQS-VIFPVBQESA-N",81.6714213289809,FALSE,"down",5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_IPCSVZSSVZVIGE-UHFFFAOYSA-N",81.3743905684111,TRUE,"up",4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4
"IK_FDGQSTZJBFJUBT-UHFFFAOYSA-N",81.1003253524002,TRUE,"up",5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_SVYIZYRTOYHQRE-UHFFFAOYSA-N",80.1461864511482,TRUE,"up",2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"IK_WKOLLVMJNQIZCI-UHFFFAOYSA-N",80.0790496233929,FALSE,"up",2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_JFLIEFSWGNOPJJ-JTQLQIEISA-N",79.7342960859931,TRUE,"up",2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"IK_YGPSJZOEDVAXAB-QMMMGPOBSA-N",76.0503584320438,FALSE,"down",1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4
"IK_NZKRYJGNYPYXJZ-UHFFFAOYSA-N",75.1724068295219,TRUE,"up",2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4
"IK_GHOKWGTUZJEAQD-ZETCQYMHSA-N",74.4526051010039,FALSE,"down",5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_WHUUTDBJXJRKMK-VKHMYHEASA-N",74.2042169935985,FALSE,"up",5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_JFLIEFSWGNOPJJ-UHFFFAOYNA-N",74.0854814432558,TRUE,"up",2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_RCNSAJSGRJSBKK-NSQVQWHSSA-N",73.8574016513163,TRUE,"down",3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"IK_HYVABZIGRDEKCD-UHFFFAOYSA-N",73.8028963652828,TRUE,"down",2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4
"IK_YDNKGFDKKRUKPY-TURZORIXSA-N",73.5295205251351,TRUE,"down",2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"IK_ONIBWKKTOPOVIA-UHFFFAOYNA-N",73.2459179053085,TRUE,"up",3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4
"IK_AHLPHDHHMVZTML-UHFFFAOYSA-N",73.1389379081654,TRUE,"up",4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_DRTQHJPVMGBUCF-XVFCMESISA-N",72.7863989448138,FALSE,"down",5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_POQOTWQIYYNXAT-UHFFFAOYSA-N",72.6846470538717,TRUE,"down",2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_GPWHCUUIQMGELX-VHQDNGOZSA-N",72.2472471547624,TRUE,"down",2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
"IK_MWOOGOJBHIARFG-UHFFFAOYSA-N",72.1888839729275,FALSE,"up",3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_QZAYGJVTTNCVMB-UHFFFAOYSA-N",71.6264411288904,TRUE,"down",3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_ZDXPYRJPNDTMRX-VKHMYHEASA-N",71.5105794939427,FALSE,"up",4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_RGHHSNMVTDWUBI-UHFFFAOYSA-N",71.320284914662,TRUE,"up",2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4
"IK_ZQPPMHVWECSIRJ-KTKRTIGZSA-N",71.1673800674272,FALSE,"up",3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4
"IK_VEYYWZRYIYDQJM-ZETCQYMHSA-N",70.7955311204118,TRUE,"up",2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4
"IK_IGTYILLPRJOVFY-UHFFFAOYSA-N",70.4339108044874,TRUE,"up",2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"IK_WWNNZCOKKKDOPX-UHFFFAOYSA-N",69.4934524691748,FALSE,"down",3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4
"IK_ZBCATMYQYDCTIZ-UHFFFAOYSA-N",69.4452162659357,TRUE,"up",2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"IK_CTYRPMDGLDAWRQ-UHFFFAOYSA-N",69.2209239278053,TRUE,"down",2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4
"IK_BTCSSZJGUNDROE-UHFFFAOYSA-N",68.9884212289396,FALSE,"down",4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_UGQMRVRMYYASKQ-KQYNXXCUSA-N",68.9650873271907,FALSE,"down",3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4
"IK_NSYSSMYQPLSPOD-UHFFFAOYSA-N",68.6638640004558,TRUE,"down",2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"IK_OMFXVFTZEKFJBZ-HJTSIMOOSA-N",68.5942902851732,FALSE,"up",1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"IK_COLNVLDHVKWLRT-QMMMGPOBSA-N",68.3099617100014,TRUE,"down",3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4
"IK_DHMQDGOQFOQNFH-UHFFFAOYSA-N",68.21205690776,TRUE,"up",2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_PDNJLMZEGXHSCU-UHFFFAOYSA-N",68.1067195762281,TRUE,"down",2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"IK_HVYWMOMLDIMFJA-DPAQBDIFSA-N",68.0539743307016,TRUE,"up",2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_SECPZKHBENQXJG-FPLPWBNLSA-N",67.8265306857214,FALSE,"down",4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"IK_AEMOLEFTQBMNLQ-QIUUJYRFSA-N",67.4682892456771,TRUE,"down",2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"IK_WWZKQHOCKIZLMA-UHFFFAOYSA-N",67.3298987026588,TRUE,"up",2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"IK_GXPIUNZCALHVBA-UHFFFAOYSA-N",67.3029677527713,TRUE,"up",2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"IK_QIAFMBKCNZACKA-UHFFFAOYSA-N",67.0399944272998,TRUE,"up",2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4
"IK_HNDVDQJCIGZPNO-YFKPBYRVSA-N",66.8240163457054,TRUE,"down",4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5
"IK_AQTYXAPIHMXAAV-UHFFFAOYSA-N",66.7778278974653,TRUE,"up",2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N",66.7356442843531,TRUE,"up",2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4
"IK_FHUAYOMRHXZKHT-JUGJLYODSA-N",66.3678688600394,TRUE,"down",2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
"IK_OSJPPGNTCRNQQC-UHFFFAOYSA-N",66.1949487444956,TRUE,"down",2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"IK_YSMODUONRAFBET-UHNVWZDZSA-N",66.1518557622944,TRUE,"up",2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4
