"entity_id","study_id"
"IK_ATNNLHXCRAAGJS-QZQOTICOSA-N","S_24058461"
"IK_AURCBSWGPREGRQ-AQNFZCBMSA-M","S_24058461"
"IK_HLIJNIKSBCIDGO-QKLMXXKVSA-N","S_24058461"
"IK_IPCSVZSSVZVIGE-UHFFFAOYSA-N","S_24058461"
"IK_KDEYEEYMIPNKIJ-OGIIFMLESA-N","S_24058461"
"IK_MKOKWBRPIBQYJJ-WZBOJYASSA-N","S_24058461"
"IK_POQRWMRXUOPCLD-AAAFHMTMSA-N","S_24058461"
"IK_QIQXTHQIDYTFRH-UHFFFAOYSA-N","S_24058461"
"IK_QYWVASPEUXEHSY-NNRNTGNWSA-N","S_24058461"
"IK_QZZGJDVWLFXDLK-UHFFFAOYSA-N","S_24058461"
"IK_RBWQERGGVBSKJY-BWFPRIDFSA-N","S_24058461"
"IK_UKMSUNONTOPOIO-UHFFFAOYSA-N","S_24058461"
"IK_VJLLLMIZEJJZTE-LKPYDFSUSA-N","S_24058461"
"IK_VJSBNBBOSZJDKB-KPEYJIHVSA-N","S_24058461"
"IK_VKOBVWXKNCXXDE-UHFFFAOYSA-N","S_24058461"
"IK_VOZHMDQUIRUFQW-LOTHNZFDSA-N","S_24058461"
"IK_VQFKFAKEUMHBLV-BYSUZVQFSA-N","S_24058461"
"IK_WBOZIXHPUPAOIA-JZZPSRGZSA-N","S_24058461"
"IK_XMHIUKTWLZUKEX-UHFFFAOYSA-N","S_24058461"
"IK_YIGARKIIFOHVPF-CNUVFPMCSA-N","S_24058461"
"IK_YMYQEDCYNANIPI-PBLJWRMESA-N","S_24058461"
"IK_ZXPULTKTJOBQPE-NWGIQDPJSA-N","S_24058461"
"IK_AEMOLEFTQBMNLQ-QIUUJYRFSA-N","S_24167579"
"IK_AMVYOVYGIJXTQB-UHFFFAOYSA-N","S_24167579"
"IK_ARBHXJXXVVHMET-UHFFFAOYSA-N","S_24167579"
"IK_AXCLECQLCBWNLZ-KZZBVOOISA-N","S_24167579"
"IK_BCCRXDTUTZHDEU-VKHMYHEASA-N","S_24167579"
"IK_BNIXVQGCZULYKV-UHFFFAOYSA-N","S_24167579"
"IK_CRVXJVHSLVEDRI-UHFFFAOYSA-N","S_24167579"
"IK_CXGDCGIPEJKSCK-UHFFFAOYSA-N","S_24167579"
"IK_CXMXRPHRNRROMY-UHFFFAOYSA-N","S_24167579"
"IK_CXTATJFJDMJMIY-CYBMUJFWSA-N","S_24167579"
"IK_CXWXQJXEFPUFDZ-UHFFFAOYSA-N","S_24167579"
"IK_DCXYFEDJOCDNAF-REOHCLBHSA-N","S_24167579"
"IK_DGXRZJSPDXZJFG-UHFFFAOYSA-N","S_24167579"
"IK_DTOSIQBPPRVQHS-PDBXOOCHSA-N","S_24167579"
"IK_DTUQWGWMVIHBKE-UHFFFAOYSA-N","S_24167579"
"IK_FCHYNXGUKIEWGL-BPVVGZHASA-N","S_24167579"
"IK_FONIWJIDLJEJTL-UHFFFAOYSA-N","S_24167579"
"IK_FUGYGGDSWSUORM-UHFFFAOYSA-N","S_24167579"
"IK_GAGWJHPBXLXJQN-UORFTKCHSA-N","S_24167579"
"IK_GGJFWMOVUFBSIN-AIRLBKTGSA-O","S_24167579"
"IK_GGUOCFNAWIODMF-UHFFFAOYSA-N","S_24167579"
"IK_GIUIHRRGPBPUAO-UHFFFAOYSA-N","S_24167579"
"IK_GJRJTYFSORWKBE-UHFFFAOYSA-N","S_24167579"
"IK_GJSURZIOUXUGAL-UHFFFAOYSA-N","S_24167579"
"IK_GLACGTLACKLUJX-QNAXTHAFSA-N","S_24167579"
"IK_GLWKVDXAQHCAIO-REYDXQAISA-N","S_24167579"
"IK_GOWRYACIDZSIHI-KBPBESRZSA-N","S_24167579"
"IK_GRSMWKLPSNHDHA-UHFFFAOYSA-N","S_24167579"
"IK_GWLHCTMTLJQQKG-UHFFFAOYSA-N","S_24167579"
"IK_GXOMMGAFBINOJY-SLINCCQESA-M","S_24167579"
"IK_HGJUPYQMZUBYSJ-UHFFFAOYSA-N","S_24167579"
"IK_HJJVPARKXDDIQD-UHFFFAOYSA-N","S_24167579"
"IK_HMKKIXGYKWDQSV-UHFFFAOYSA-N","S_24167579"
"IK_HMVMFGNKDHVMJV-UHFFFAOYSA-N","S_24167579"
"IK_HYBBIBNJHNGZAN-UHFFFAOYSA-N","S_24167579"
"IK_ICFXZZFWRWNZMA-UHFFFAOYSA-N","S_24167579"
"IK_IDAICLIJTRXNER-UHFFFAOYSA-N","S_24167579"
"IK_IDFPDDYONWABIH-CXCWZUHBSA-N","S_24167579"
"IK_IEPGNWMPIFDNSD-HZJYTTRNSA-N","S_24167579"
"IK_ILMMSBJXXQIEEM-UHFFFAOYSA-N","S_24167579"
"IK_IOFRHEYTWVCPIG-UHFFFAOYSA-N","S_24167579"
"IK_IPCSVZSSVZVIGE-UHFFFAOYSA-N","S_24167579"
"IK_ISRLGZXSKRDKID-JXBDSQKUSA-N","S_24167579"
"IK_IVUWYMCIIBQTQB-VAFBSOEGSA-N","S_24167579"
"IK_JAQGKXUEKGKTKX-HOTGVXAUSA-N","S_24167579"
"IK_JBIMVDZLSHOPLA-LSCVHKIXSA-N","S_24167579"
"IK_JHFAKPWBUSBCCY-UHFFFAOYSA-N","S_24167579"
"IK_JOATXPAWOHTVSZ-UHFFFAOYSA-N","S_24167579"
"IK_KBOJOGQFRVVWBH-ZETCQYMHSA-N","S_24167579"
"IK_KECVAQLNZFMLLN-DUXPYHPUSA-N","S_24167579"
"IK_KPMVHELZNRNSMN-UHFFFAOYSA-N","S_24167579"
"IK_KYZSOPIZDMFUBC-QPCGIFMOSA-N","S_24167579"
"IK_LAGYWHSFHIMTPE-UHFFFAOYSA-N","S_24167579"
"IK_LCHFAYIGHOVWSA-LEDUIRAGSA-N","S_24167579"
"IK_LEVWYRKDKASIDU-UHFFFAOYNA-N","S_24167579"
"IK_LKNPFOZIOWXDQS-UHFFFAOYSA-N","S_24167579"
"IK_LMJSLTNSBFUCMU-UHFFFAOYSA-N","S_24167579"
"IK_LQQFFJFGLSKYIR-UHFFFAOYSA-M","S_24167579"
"IK_LVDKZNITIUWNER-UHFFFAOYSA-N","S_24167579"
"IK_LXZUEFPJZTWGEL-KAMYIIQDSA-N","S_24167579"
"IK_LZCOQTDXKCNBEE-RUTJIGONSA-N","S_24167579"
"IK_MAHPNPYYQAIOJN-UHFFFAOYSA-N","S_24167579"
"IK_MDSIZRKJVDMQOQ-GORDUTHDSA-N","S_24167579"
"IK_METKIMKYRPQLGS-UHFFFAOYSA-N","S_24167579"
"IK_MQDDWIVNNZPOCB-HOTGVXAUSA-N","S_24167579"
"IK_MWRWFPQBGSZWNV-UHFFFAOYSA-N","S_24167579"
"IK_MZOYMQRKTJRHGJ-UHFFFAOYSA-N","S_24167579"
"IK_MZWRIOUCMXPLKV-RFOVXIPZSA-N","S_24167579"
"IK_NAYOYSKSFGMFOB-LURJTMIESA-N","S_24167579"
"IK_NJMGRJLQRLFQQX-HYXAFXHYSA-N","S_24167579"
"IK_NPNUFJAVOOONJE-FLFDDASRSA-N","S_24167579"
"IK_NUJGJRNETVAIRJ-UHFFFAOYSA-N","S_24167579"
"IK_OAMCCJASDLMTOO-UHFFFAOYSA-N","S_24167579"
"IK_OJMNTWPPFNMOCJ-CFOLLTDRSA-M","S_24167579"
"IK_OKRAIIIRDYCGGZ-POHAHGRESA-N","S_24167579"
"IK_OOOXLVUNFHBSNL-UFBFGSQYSA-N","S_24167579"
"IK_ORHVVTAURCZTDT-QZQOTICOSA-N","S_24167579"
"IK_OTAJGWQCQIEFEV-UHFFFAOYSA-N","S_24167579"
"IK_PABVKUJVLNMOJP-UHFFFAOYSA-M","S_24167579"
"IK_PBLNHHSDYFYZNC-UHFFFAOYSA-N","S_24167579"
"IK_PWHROYKAGRUWDQ-UHFFFAOYSA-N","S_24167579"
"IK_QCCRPLPTELVLHD-LCYFTJDESA-N","S_24167579"
"IK_QUZSUMLPWDHKCJ-UHFFFAOYSA-N","S_24167579"
"IK_QWRYPHZJTWQLFX-UHFFFAOYSA-N","S_24167579"
"IK_RHGKLRLOHDJJDR-BYPYZUCNSA-N","S_24167579"
"IK_RJDBNSZFZDWPFL-WEDYNZIRSA-N","S_24167579"
"IK_RNVHHPUYELVHRE-GLRLOKQVSA-N","S_24167579"
"IK_RUYUCCQRWINUHE-UHFFFAOYSA-N","S_24167579"
"IK_RVOLLAQWKVFTGE-UHFFFAOYSA-N","S_24167579"
"IK_RXFPYNAVFFDUJE-UHFFFAOYSA-N","S_24167579"
"IK_SEALOBQTUQIVGU-QNIJNHAOSA-N","S_24167579"
"IK_SRMRDCIUBMNQNC-MUUNZHRXSA-O","S_24167579"
"IK_SRPXSILJHWNFMK-ZBEGNZNMSA-N","S_24167579"
"IK_SWGJCIMEBVHMTA-UHFFFAOYSA-K","S_24167579"
"IK_SXKNCCSPZDCRFD-UHFFFAOYSA-N","S_24167579"
"IK_UBMDAKWARMURDL-FNORWQNLSA-N","S_24167579"
"IK_UGFILLIGHGZLHE-UHFFFAOYSA-N","S_24167579"
"IK_UGJAEDFOKNAMQD-QXPKXGMISA-N","S_24167579"
"IK_UJHKVYPPCJBOSG-UHFFFAOYSA-N","S_24167579"
"IK_UOORRWUZONOOLO-UHFFFAOYSA-N","S_24167579"
"IK_URDOHUPGIOGTKV-JTBFTWTJSA-M","S_24167579"
"IK_UUUGVWGQJIFFRM-FUHDGFEASA-N","S_24167579"
"IK_UXFQDXABPXWSTK-ZDUSSCGKSA-N","S_24167579"
"IK_VBGLYOIFKLUMQG-UHFFFAOYSA-N","S_24167579"
"IK_VCCAAURNBULZRR-JGVFFNPUSA-N","S_24167579"
"IK_VEORPZCZECFIRK-UHFFFAOYSA-N","S_24167579"
"IK_VMUNAKQXJLHODT-VAWYXSNFSA-N","S_24167579"
"IK_VMYXUZSZMNBRCN-UHFFFAOYSA-N","S_24167579"
"NO_INCHIKEY__10 carbon fatty aldehyde","S_24167579"
"NO_INCHIKEY__11 carbon fatty acid","S_24167579"
"NO_INCHIKEY__12 carbon fatty acid","S_24167579"
"NO_INCHIKEY__13 carbon fatty acid","S_24167579"
"NO_INCHIKEY__14 carbon fatty acid","S_24167579"
"NO_INCHIKEY__16 carbon fatty acid","S_24167579"
"NO_INCHIKEY__8 10 dihydroxydihydroergotamine","S_24167579"
"NO_INCHIKEY__aromatic phytochemical","S_24167579"
"NO_INCHIKEY__bile acid or lovastatin","S_24167579"
"NO_INCHIKEY__brompheniramine didemethylated","S_24167579"
"IK_WHPVYXDFIXRKLN-UHFFFAOYSA-N","S_24167579"
"IK_WHWHBAUZDPEHEM-UHFFFAOYSA-N","S_24167579"
"IK_WRUFJWLVOQYPJF-UHFFFAOYSA-N","S_24167579"
"IK_WTFXTQVDAKGDEY-HTQZYQBOSA-N","S_24167579"
"NO_INCHIKEY__flavanoid","S_24167579"
"NO_INCHIKEY__flavanoid glucuronide","S_24167579"
"NO_INCHIKEY__flavonoid glucuronide","S_24167579"
"NO_INCHIKEY__flavonoid glucuronide se adenosylselenomethionine","S_24167579"
"NO_INCHIKEY__flower extract","S_24167579"
"IK_WWZKQHOCKIZLMA-UHFFFAOYSA-N","S_24167579"
"IK_XAPHYNIJAGNNNA-YFTOQCAPSA-N","S_24167579"
"IK_XWBICGCZKGTPCH-MBNYWOFBSA-N","S_24167579"
"IK_XWXLDVGDOHFZSG-KPRBQMARSA-N","S_24167579"
