"entity_id","canonical_metabolite","KEGG_ID","Pathway"
"IK_AYFVYJQAPQTCCC-GBXIJSLDSA-N","L-Threonine","C00188","Valine, leucine and isoleucine biosynthesis"
"IK_AYFVYJQAPQTCCC-UHFFFAOYNA-N","Threonine","C00188","Valine, leucine and isoleucine biosynthesis"
"IK_WHBMMWSBFZVSSR-UHFFFAOYSA-N","3-Hydroxybutyric acid","C00188","Valine, leucine and isoleucine biosynthesis"
"IK_TYEYBOSBBBHJIV-UHFFFAOYSA-N","2-Ketobutyric acid","C00109","Valine, leucine and isoleucine biosynthesis"
"IK_JVQYSWDUAOAHFM-UHFFFAOYSA-N","3-Methyl-2-Oxovaleric Acid","C00671","Valine, leucine and isoleucine biosynthesis"
"IK_AGPKZVBTJJNPAG-UHFFFAOYNA-N","Isoleucine","C00407","Valine, leucine and isoleucine biosynthesis"
"IK_AGPKZVBTJJNPAG-WHFBIAKZSA-N","L-Isoleucine","C00407","Valine, leucine and isoleucine biosynthesis"
"IK_KZSNJWFQEVHDMF-BYPYZUCNSA-N","L-Valine","C00183","Valine, leucine and isoleucine biosynthesis"
"IK_KZSNJWFQEVHDMF-UHFFFAOYNA-N","Valine","C00141","Valine, leucine and isoleucine biosynthesis"
"IK_QHKABHOOEWYVLI-UHFFFAOYSA-N","Ketoisovaleric acid","C00141","Valine, leucine and isoleucine biosynthesis"
"IK_BKAJNAXTPSGJCU-UHFFFAOYSA-N","4-Methyl-2-oxovaleric Acid","C00233","Valine, leucine and isoleucine biosynthesis"
"IK_JQXBETDGCMQLMK-UHFFFAOYSA-N","3,4-Dihydroxyphenylacetone","C00123","Valine, leucine and isoleucine biosynthesis"
"IK_ROHFNLRQFUQHCH-UHFFFAOYNA-N","Leucine","C00123","Valine, leucine and isoleucine biosynthesis"
"IK_ROHFNLRQFUQHCH-YFKPBYRVSA-N","L-leucine","C00123","Valine, leucine and isoleucine biosynthesis"
