entity_id,canonical_metabolite,SMILES,KEGG ID,InChIKey,Kingdom,Superclass,Class,Subclass,primary_pathway
IK_ABFZMYIIUREPLL-ASWJIRIHSA-N,Glycochenodeoxycholic acid 3-glucuronide,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C)O)C,C03033,ABFZMYIIUREPLL-ASWJIRIHSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal glycosides,Ascorbate and aldarate metabolism
IK_ABOLXXZAJIAUGR-JPMMFUSZSA-N,Ibuprofen glucuronide,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O,C03033,ABOLXXZAJIAUGR-JPMMFUSZSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Ascorbate and aldarate metabolism
IK_ACSFOIGNUQUIGE-AIPUTVCKSA-N,Dihydrocortisol,C[C@]12CCC(=O)C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,C05471,ACSFOIGNUQUIGE-AIPUTVCKSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Steroid hormone biosynthesis
IK_AERBNCYCJBRYDG-KSZLIROESA-N,Phytosphingosine,CCCCCCCCCCCCCC[C@H]([C@H]([C@H](CO)N)O)O,C12144,AERBNCYCJBRYDG-KSZLIROESA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Sphingolipid metabolism
IK_AFENDNXGAFYKQO-UHFFFAOYSA-N,2-hydroxybutyric acid,CCC(C(=O)O)O,C05984,AFENDNXGAFYKQO-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,Propanoate metabolism
IK_AGPKZVBTJJNPAG-WHFBIAKZSA-N,L-Isoleucine,CC[C@H](C)[C@@H](C(=O)O)N,C00407,AGPKZVBTJJNPAG-WHFBIAKZSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Valine, leucine and isoleucine biosynthesis"
IK_AHLPHDHHMVZTML-SCSAIBSYSA-N,D-Ornithine,C(C[C@H](C(=O)O)N)CN,C00515,AHLPHDHHMVZTML-SCSAIBSYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",D-Amino acid metabolism
IK_AJTJVNKPLZTLHV-RJJHQZCFSA-N,"PE(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,C00350,AJTJVNKPLZTLHV-RJJHQZCFSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,Glycerophospholipid metabolism
IK_AKCRVYNORCOYQT-UHFFFAOYSA-N,N-Methylvaline,CC(C)C(C(=O)O)NC,C01149,AKCRVYNORCOYQT-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Lysine degradation
IK_AODPIQQILQLWGS-GXBDJPPSSA-N,Tetrahydrocortisol,C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O)O,C05472,AODPIQQILQLWGS-GXBDJPPSSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Steroid hormone biosynthesis
