matched_adduct_found,count,adduct_mass_shift_Da,molecule_multiplier_n,charge_z,mz_formula
[M-H]-,132,-1.007276,1,-1,(M - 1.007276) / 1
[M+H]+,130,1.007276,1,1,(M + 1.007276) / 1
[M+FA-H]- / [M+HCOO]-,85,44.998201,1,-1,(M + 44.998201) / 1
[M-H2O-H]-,49,-19.017841,1,-1,(M - 19.017841) / 1
[M+H-H2O]+,42,-17.003289,1,1,(M - 17.003289) / 1
[M+NH4]+,41,18.033823,1,1,(M + 18.033823) / 1
[M+Na-2H]-,34,20.974666,1,-1,(M + 20.974666) / 1
[M+Na]+,32,22.989218,1,1,(M + 22.989218) / 1
[M+ACN+H]+,25,42.033825,1,1,(M + 42.033825) / 1
[M+2Na-H]+,17,44.971160,1,1,(M + 44.971160) / 1
[M+K-2H]-,16,36.948606,1,-1,(M + 36.948606) / 1
[M+Cl]-,16,34.969402,1,-1,(M + 34.969402) / 1
[M+H-2H2O]+,14,-35.013854,1,1,(M - 35.013854) / 1
[2M+FA-H]- / [2M+HCOO]-,11,44.998201,2,-1,(2M + 44.998201) / 1
[M+ACN+Na]+,11,64.015767,1,1,(M + 64.015767) / 1
[M+K]+,8,38.963158,1,1,(M + 38.963158) / 1
[2M+NH4]+,7,18.033823,2,1,(2M + 18.033823) / 1
[2M-H]-,7,-1.007276,2,-1,(2M - 1.007276) / 1
[2M+H]+,6,1.007276,2,1,(2M + 1.007276) / 1
[M-H]- | [M+H]+,5,-1.007276 | 1.007276,1 | 1,-1 | 1,(M - 1.007276) / 1 | (M + 1.007276) / 1
[2M+CH3COO]-,4,59.013851,2,-1,(2M + 59.013851) / 1
[2M+Na]+,4,22.989218,2,1,(2M + 22.989218) / 1
[M+H+Na]2+,3,23.996494,1,2,(M + 23.996494) / 2
[M+2Na]2+,3,45.978436,1,2,(M + 45.978436) / 2
[M-H]- | [M+Na-2H]-,2,-1.007276 | 20.974666,1 | 1,-1 | -1,(M - 1.007276) / 1 | (M + 20.974666) / 1
[2M+K]+,2,38.963158,2,1,(2M + 38.963158) / 1
[M-H]- | [2M-H]-,1,-1.007276 | -1.007276,1 | 2,-1 | -1,(M - 1.007276) / 1 | (2M - 1.007276) / 1
[M-H]- | [2M+H]+,1,-1.007276 | 1.007276,1 | 2,-1 | 1,(M - 1.007276) / 1 | (2M + 1.007276) / 1
[M-H]- | [M+NH4]+,1,-1.007276 | 18.033823,1 | 1,-1 | 1,(M - 1.007276) / 1 | (M + 18.033823) / 1
[M-H]- | [M+H-H2O]+,1,-1.007276 | -17.003289,1 | 1,-1 | 1,(M - 1.007276) / 1 | (M - 17.003289) / 1
[M+FA-H]- / [M+HCOO]- | [M+2Na-H]+,1,44.998201 | 44.971160,1 | 1,-1 | 1,(M + 44.998201) / 1 | (M + 44.971160) / 1
[M-2H]2-,1,-2.014552,1,-2,(M - 2.014552) / 2
[M+CH3COO]-,1,59.013851,1,-1,(M + 59.013851) / 1
[M+2H]2+,1,2.014552,1,2,(M + 2.014552) / 2
[2M+Cl]-,1,34.969402,2,-1,(2M + 34.969402) / 1
