canonical_metabolite,formula,monoisotopic_mass_Da,study,observed_mz,observed_mz_minus_M_Da,possible_adduct,polarity,charge,multimer,theoretical_mz_for_adduct,adduct_mass_shift_Da,mass_error_Da,mass_error_ppm,match_status,closest_common_adduct,all_candidate_adducts_within_0.02Da
"(+)-15,16-Dihydroxyoctadecanoic acid",C18H36O4,316.2614,MTBLS11904,317.268,1.0066,[M+H]+,+,1,1,317.268676,1.007276,-0.000676,-2.13,Matched,[M+H]+,[M+H]+ (err -0.000676 Da)
(+)-Lysergic acid,C16H16N2O2,268.1212,MTBLS11904,581.2395,313.1183,[2M+FA-H]- / [2M+HCOO]-,-,-1,2,581.240601,44.998201,-0.001101,-1.89,Matched,[2M+FA-H]- / [2M+HCOO]-,[2M+FA-H]- / [2M+HCOO]- (err -0.001101 Da)
(+)-Rotundifolone,C10H14O2,166.0994,MTBLS11904,211.0973,44.9979,[M+FA-H]- / [M+HCOO]-,-,-1,1,211.097601,44.998201,-0.000301,-1.43,Matched,[M+FA-H]- / [M+HCOO]-,[M+FA-H]- / [M+HCOO]- (err -0.000301 Da)
"(+)-threo-2-Amino-3,4-dihydroxybutanoic acid",C4H9NO4,135.0532,MTBLS11904,116.0352,-19.018,[M-H2O-H]-,-,-1,1,116.035359,-19.017841,-0.000159,-1.37,Matched,[M-H2O-H]-,[M-H2O-H]- (err -0.000159 Da)
"(+/-)12,13-DiHOME",C18H34O4,314.2457,MTBLS11904,313.238,-1.0077,[M-H]-,-,-1,1,313.238424,-1.007276,-0.000424,-1.35,Matched,[M-H]-,[M-H]- (err -0.000424 Da)
"(+/-)12,13-DiHOME",C18H34O4,314.2457,MTBLS11904,335.222,20.9763,[M+Na-2H]-,-,-1,1,335.220365,20.974665,0.001635,4.88,Matched,[M+Na-2H]-,[M+Na-2H]- (err 0.001635 Da)
(+/-)9-HpODE,C18H32O4,312.2301,MTBLS11904,311.2223,-1.0078,[M-H]-,-,-1,1,311.222824,-1.007276,-0.000524,-1.68,Matched,[M-H]-,[M-H]- (err -0.000524 Da)
(-)-alpha-Bisabolol,C15H26O,222.1984,MTBLS11904,503.4098,281.2114,[2M+CH3COO]-,-,-1,2,503.410651,59.013851,-0.000851,-1.69,Matched,[2M+CH3COO]-,[2M+CH3COO]- (err -0.000851 Da)
(-)-Cotinine,C10H12N2O,176.095,MTBLS11904,177.102,1.007,[M+H]+,+,1,1,177.102276,1.007276,-0.000276,-1.56,Matched,[M+H]+,[M+H]+ (err -0.000276 Da)
(-)-Pinoresinol,C20H22O6,358.1416,MTBLS11904,501.1735,143.0319,,,,,,,79.016133,187172.22,No common adduct match,[M+ACN+Na]+,
(-)-Slaframine,C10H18N2O2,198.1368,MTBLS11904,231.1699,33.0331,,,,,,,-1.936302,-8306.52,No common adduct match,[M+Cl]-,
(1-~13~C)Aniline,C6H7N,93.05785,S_35829770,94.06506,1.00721,[M+H]+,+,1,1,94.065126,1.007276,-0.000066,-0.71,Matched,[M+H]+,[M+H]+ (err -0.000066 Da)
(10Z)-12-Hydroxyhexadecenoylcarnitine,C23H43NO5,413.3141,MTBLS11904,396.31,-17.0041,[M+H-H2O]+,+,1,1,396.310812,-17.003288,-0.000812,-2.05,Matched,[M+H-H2O]+,[M+H-H2O]+ (err -0.000812 Da)
"(11R,12S,13S)-Epoxy-hydroxyoctadeca-cis-9-cis-15-dien-1-oic acid",C18H30O4,310.2144,MTBLS11904,331.1868,20.9724,[M+Na-2H]-,-,-1,1,331.189065,20.974665,-0.002265,-6.84,Matched,[M+Na-2H]-,[M+Na-2H]- (err -0.002265 Da)
(12E)-10-Hydroxytetradec-12-enoylcarnitine,C21H39NO5,385.2828,MTBLS11904,368.2789,-17.0039,[M+H-H2O]+,+,1,1,368.279512,-17.003288,-0.000612,-1.66,Matched,[M+H-H2O]+,[M+H-H2O]+ (err -0.000612 Da)
"(12Z,15Z)-10-Hydroxyoctadeca-12,15-dienoylcarnitine",C25H45NO5,439.3298,MTBLS11904,422.3256,-17.0042,[M+H-H2O]+,+,1,1,422.326512,-17.003288,-0.000912,-2.16,Matched,[M+H-H2O]+,[M+H-H2O]+ (err -0.000912 Da)
"(1a,5b,6a)-7-Protoilludene-1,5,6,14-tetrol 14-(2,4-dihydroxy-6-methylbenzoic acid)",C23H30O7,418.1992,MTBLS11904,436.2299,18.0307,[M+NH4]+,+,1,1,436.233023,18.033823,-0.003123,-7.16,Matched,[M+NH4]+,[M+NH4]+ (err -0.003123 Da)
"(1beta,2beta,5beta)-p-Menth-3-ene-1,2,5-triol",C10H18O3,186.1256,MTBLS11904,231.1235,44.9979,[M+FA-H]- / [M+HCOO]-,-,-1,1,231.123801,44.998201,-0.000301,-1.3,Matched,[M+FA-H]- / [M+HCOO]-,[M+FA-H]- / [M+HCOO]- (err -0.000301 Da)
"(1r,2s)-2-Aminocyclopentanecarboxylic acid",C6H11NO2,129.079,MTBLS11904,147.1126,18.0336,[M+NH4]+,+,1,1,147.112823,18.033823,-0.000223,-1.52,Matched,[M+NH4]+,[M+NH4]+ (err -0.000223 Da)
(1S)-(-)-Camphanic Acid,C10H14O4,198.0892,MTBLS11904,197.0818,-1.0074,[M-H]-,-,-1,1,197.081924,-1.007276,-0.000124,-0.63,Matched,[M-H]-,[M-H]- (err -0.000124 Da)
"(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol",C10H20O4,204.1362,MTBLS11904,203.1287,-1.0075,[M-H]-,-,-1,1,203.128924,-1.007276,-0.000224,-1.1,Matched,[M-H]-,[M-H]- (err -0.000224 Da)
"(2,6-Dioxo-3H-purin-9-yl) pyridine-3-carboxylate",C11H7N5O4,273.0498,MTBLS11904,337.0633,64.0135,[M+ACN+Na]+,+,1,1,337.065567,64.015767,-0.002267,-6.73,Matched,[M+ACN+Na]+,[M+ACN+Na]+ (err -0.002267 Da)
"(2-((3,5-Di-t-butyl-4-hydroxyphenyl)thio)-1-methylpropoxy)acetic acid",C20H32O4S,368.2021,MTBLS11904,351.2006,-17.0015,[M+H-H2O]+,+,1,1,351.198812,-17.003288,0.001788,5.09,Matched,[M+H-H2O]+,[M+H-H2O]+ (err 0.001788 Da)
(2-Hydroxyethoxy)acetic acid,C4H8O4,120.0423,MTBLS11904,103.0388,-17.0035,[M+H-H2O]+,+,1,1,103.039012,-17.003288,-0.000212,-2.06,Matched,[M+H-H2O]+,[M+H-H2O]+ (err -0.000212 Da)
(2-Naphthalenyloxy)acetic acid,C12H10O3,202.063,MTBLS11904,235.0961,33.0331,,,,,,,-1.936302,-8168.93,No common adduct match,[M+Cl]-,
"(2-oxo-2,3-Dihydro-1H-Indol-3-yl)acetic Acid",C10H9NO3,191.0582,MTBLS11904,209.0917,18.0335,[M+NH4]+,+,1,1,209.092023,18.033823,-0.000323,-1.54,Matched,[M+NH4]+,[M+NH4]+ (err -0.000323 Da)
"(23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide)",C33H50O10,606.3404,MTBLS11904,624.3787,18.0383,[M+NH4]+,+,1,1,624.374223,18.033823,0.004477,7.17,Matched,[M+NH4]+,[M+NH4]+ (err 0.004477 Da)
