entity_id,canonical_metabolite,primary_pathway
IK_AADLTHQNYQJHQV-SVLGDMRNSA-N,SM d38:1,Sphingolipid metabolism
IK_ABFZMYIIUREPLL-ASWJIRIHSA-N,Glycochenodeoxycholic acid 3-glucuronide,Ascorbate and aldarate metabolism
IK_ABOLXXZAJIAUGR-JPMMFUSZSA-N,Ibuprofen glucuronide,Ascorbate and aldarate metabolism
IK_ACSFOIGNUQUIGE-AIPUTVCKSA-N,Dihydrocortisol,Steroid hormone biosynthesis
IK_ADQUXZRKOKKULD-CZOXBATISA-N,"15-Hydroxynorandrostene-3,17-dione glucuronide",Ascorbate and aldarate metabolism
IK_AEAMHDRXCYEOCU-HTDYWKJCSA-N,PC(18:0/18:1(11Z)),Linoleic acid metabolism
IK_AERBNCYCJBRYDG-KSZLIROESA-N,Phytosphingosine,Sphingolipid metabolism
IK_AERBNCYCJBRYDG-RGBJRUIASA-N,4-hydroxysphinganine,Sphingolipid metabolism
IK_AFENDNXGAFYKQO-UHFFFAOYSA-N,2-hydroxybutyric acid,Propanoate metabolism
IK_AGPKZVBTJJNPAG-UHFFFAOYNA-N,Isoleucine,"Valine, leucine and isoleucine biosynthesis"
IK_AGPKZVBTJJNPAG-WHFBIAKZSA-N,L-Isoleucine,"Valine, leucine and isoleucine biosynthesis"
IK_AHLPHDHHMVZTML-SCSAIBSYSA-N,D-Ornithine,D-Amino acid metabolism
IK_AHWXJDWBIIDPKS-TZUVPVEASA-N,GPCho(22:6/18:0),Linoleic acid metabolism
IK_AJTJVNKPLZTLHV-RJJHQZCFSA-N,"PE(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))",Glycerophospholipid metabolism
IK_AKCRVYNORCOYQT-UHFFFAOYSA-N,N-Methylvaline,Lysine degradation
IK_ANRKEHNWXKCXDB-BHFWLYLHSA-N,PE 38:4,Glycerophospholipid metabolism
IK_AODPIQQILQLWGS-GXBDJPPSSA-N,Tetrahydrocortisol,Steroid hormone biosynthesis
IK_ARBHXJXXVVHMET-UHFFFAOYSA-N,2-Oxoarginine,D-Amino acid metabolism
IK_ASCFNMCAHFUBCO-UHFFFAOYSA-N,Phosphoglycolic acid,Glyoxylate and dicarboxylate metabolism
IK_ASWBNKHCZGQVJV-HSZRJFAPSA-N,LysoPC(16:0),Glycerophospholipid metabolism
IK_ASWVTGNCAZCNNR-UHFFFAOYSA-N,Sulfadimidine,Pentose and glucuronate interconversions
IK_ATHGHQPFGPMSJY-UHFFFAOYSA-N,Spermidine,Arginine and proline metabolism
IK_ATHVAWFAEPLPPQ-VRDBWYNSSA-N,PC 36:1,Linoleic acid metabolism
IK_AURCBSWGPREGRQ-VGNRXBDKSA-N,3-O-Sulfogalactosylceramide (d18:1/20:0),Sphingolipid metabolism
IK_AXZGUCXCTZMPTR-UVGACIQRSA-N,"PC(18:0/22:4(7Z,10Z,13Z,16Z))",Linoleic acid metabolism
IK_AYFVYJQAPQTCCC-GBXIJSLDSA-N,L-Threonine,"Valine, leucine and isoleucine biosynthesis"
IK_AYFVYJQAPQTCCC-UHFFFAOYNA-N,Threonine,"Valine, leucine and isoleucine biosynthesis"
IK_BAQMYDQNMFBZNA-MNXVOIDGSA-N,Biocytin,Biotin metabolism
IK_BCDGQXUMWHRQCB-UHFFFAOYSA-N,Aminoacetone,"Glycine, serine and threonine metabolism"
IK_BDKXLTOHYQEAIO-RSLHMRQOSA-N,L-Cystathionine - Isomer,"Glycine, serine and threonine metabolism"
IK_BETFSIOJEATXGY-WOCLASLBSA-N,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))",Linoleic acid metabolism
IK_BFZDKPVWJYFECC-OFCLATOASA-N,PC aa C34:4,Linoleic acid metabolism
IK_BHQCQFFYRZLCQQ-OELDTZBJSA-N,Cholic Acid,Primary bile acid biosynthesis
IK_BHWGKAVGUMMQIW-UVZRHDGTSA-N,PC 40:7|PC 20:3_20:4,Linoleic acid metabolism
IK_BHYOQNUELFTYRT-DPAQBDIFSA-N,cholesterol 3-sulfate,Steroid hormone biosynthesis
IK_BIEOSECQPGGZMF-NAIWXXGBSA-N,PC(22:5/0:0),Glycerophospholipid metabolism
IK_BJEPYKJPYRNKOW-UHFFFAOYSA-N,malic acid,Citrate cycle (TCA cycle)
IK_BKAJNAXTPSGJCU-UHFFFAOYSA-N,4-Methyl-2-oxovaleric Acid,"Valine, leucine and isoleucine biosynthesis"
IK_BLHQFTDZMFXXHV-LLPREHSBSA-N,GPEtn(22:5/16:0),Glycerophospholipid metabolism
IK_BMVUIWJCUQSHLZ-YFZGBAIXSA-N,Glycerophosphoinositol,Glycerophospholipid metabolism
