entity_id,canonical_metabolite,all_metabolite_names,InChIKey,formula,n_studies_with_log2fc,n_effect_observations,n_up,n_down,mean_log2fc,median_log2fc,max_abs_log2fc,min_p_value,studies,dominant_direction,consistency_score,discordant,recurrent
IK_YGPSJZOEDVAXAB-UHFFFAOYSA-N,Kynurenine,Kynurenine,YGPSJZOEDVAXAB-UHFFFAOYSA-N,C10H12N2O3,4,4,1,3,-0.12455029225,-0.160452361,0.217591435,0.0113,33485385 | 38720721 | MTBLS11904 | ST003159,Down in PD,0.75,TRUE,TRUE
IK_OUYCCCASQSFEME-UHFFFAOYNA-N,Tyrosine,Tyrosine,OUYCCCASQSFEME-UHFFFAOYNA-N,C9H11NO3,4,4,2,2,-0.76743481125,-0.055112869999999994,3.450226358,9.3e-6,34577635 | 38516193 | 38720721 | ST001814,Discordant/tie,0.5,TRUE,TRUE
IK_VKOBVWXKNCXXDE-UHFFFAOYSA-N,arachidic acid,arachidic acid | C20:0 ceramide | FFA 20:0 | FFAD 20:0,VKOBVWXKNCXXDE-UHFFFAOYSA-N,C20H40O2,4,4,2,2,0.26637458849999995,0.2594639305,1.07293,0.006,24058461 | 33485385 | 38720721 | ST003159,Discordant/tie,0.5,TRUE,TRUE
IK_XUYPXLNMDZIRQH-LURJTMIESA-N,N-Acetyl-L-methionine,N-Acetyl-L-methionine | N-Acetylmethionine,XUYPXLNMDZIRQH-LURJTMIESA-N,C7H13NO3S,4,4,2,2,0.2565947195,0.1839351585,0.892973815,0.0035,33485385 | 38720721 | MTBLS11904 | ST003159,Discordant/tie,0.5,TRUE,TRUE
IK_GHOKWGTUZJEAQD-ZETCQYMHSA-N,Pantothenic acid,Pantothenic acid,GHOKWGTUZJEAQD-ZETCQYMHSA-N,C9H17NO5,4,4,2,2,-0.232460973,-0.10294805100000001,0.864432129,1.16e-7,33485385 | 38720721 | MTBLS11904 | ST003159,Discordant/tie,0.5,TRUE,TRUE
IK_YZXBAPSDXZZRGB-DOFZRALJSA-N,Arachidonic acid,Arachidonic acid | FFA 20:4,YZXBAPSDXZZRGB-DOFZRALJSA-N,C20H32O2,4,4,2,2,-0.06310306000000002,-0.048312481500000004,0.621488377,4e-4,33485385 | MTBLS11904 | ST001814 | ST003159,Discordant/tie,0.5,TRUE,TRUE
IK_DRTQHJPVMGBUCF-XVFCMESISA-N,Uridine,Uridine,DRTQHJPVMGBUCF-XVFCMESISA-N,C9H12N2O6,4,4,2,2,0.11713839325,0.1085629225,0.472378175,0.0105,33485385 | 38720721 | MTBLS11904 | ST003159,Discordant/tie,0.5,TRUE,TRUE
IK_MWOOGOJBHIARFG-UHFFFAOYSA-N,Vanillin,Vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,C8H8O3,3,3,2,1,1.316088848,0.344828497,5.030063521,4.15e-4,28880465 | 38720721 | MTBLS11904,Up in PD,0.6666666666666666,TRUE,TRUE
IK_ZDXPYRJPNDTMRX-VKHMYHEASA-N,Glutamine,Glutamine | L-Glutamine,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3,3,3,2,1,-1.1620393693333333,0.071122855,4.689287619,7.5e-5,38516193 | MTBLS11904 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE
IK_UGQMRVRMYYASKQ-KQYNXXCUSA-N,Inosine,Inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,C10H12N4O5,3,3,1,2,-1.325148432,-0.434402824,4.056472835,0.0686,28880465 | MTBLS11904 | ST003159,Down in PD,0.6666666666666666,TRUE,TRUE
IK_PVNIIMVLHYAWGP-UHFFFAOYSA-N,nicotinic acid,nicotinic acid | Niacin,PVNIIMVLHYAWGP-UHFFFAOYSA-N,C6H5NO2,3,3,1,2,-1.3623039526666667,-1.578380915,2.969011413,5.2e-6,38516193 | 38720721 | MTBLS11904,Down in PD,0.6666666666666666,TRUE,TRUE
IK_COLNVLDHVKWLRT-UHFFFAOYNA-N,Phenylalanine,Phenylalanine,COLNVLDHVKWLRT-UHFFFAOYNA-N,C9H11NO3,3,3,2,1,0.62232946199999994,0.021960072,2.201633861,6.74e-5,29518718 | 38720721 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE
IK_FDGQSTZJBFJUBT-UHFFFAOYSA-N,Hypoxanthine,Hypoxanthine,FDGQSTZJBFJUBT-UHFFFAOYSA-N,C5H4N4O,3,3,2,1,-0.5424594943333334,0.20669198,2.042753986,1e-4,ACS1517 | MTBLS11904 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE
IK_WHUUTDBJXJRKMK-VKHMYHEASA-N,Glutamic acid,Glutamic acid | L-Glutamic Acid | L-Glutamate | L-Glutamic Acid - H2O,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4,3,3,2,1,-0.06433726399999998,0.102613792,1.120294234,4e-6,37755270 | ST001814 | ST003159,Up in PD,0.6666666666666666,TRUE,TRUE
