entity_id,canonical_metabolite,all_metabolite_names,InChIKey,formula,n_studies_with_log2fc,n_effect_observations,n_up,n_down,mean_log2fc,median_log2fc,max_abs_log2fc,min_p_value,studies,dominant_direction,consistency_score,discordant,recurrent
IK_YGPSJZOEDVAXAB-UHFFFAOYSA-N,Kynurenine,Kynurenine,YGPSJZOEDVAXAB-UHFFFAOYSA-N,C10H12N2O3,4,4,1,3,-0.12455029225,-0.160452361,0.217591435,0.0113,33485385 | 38720721 | MTBLS11904 | ST003159,Down in PD,0.75,TRUE,TRUE
IK_OUYCCCASQSFEME-UHFFFAOYNA-N,Tyrosine,Tyrosine,OUYCCCASQSFEME-UHFFFAOYNA-N,C9H11NO3,4,4,2,2,-0.76743481125,-0.055112869999999994,3.450226358,9.3e-6,34577635 | 38516193 | 38720721 | ST001814,Discordant/tie,0.5,TRUE,TRUE
IK_VKOBVWXKNCXXDE-UHFFFAOYSA-N,arachidic acid,arachidic acid | C20:0 ceramide | FFA 20:0 | FFAD 20:0,VKOBVWXKNCXXDE-UHFFFAOYSA-N,C20H40O2,4,4,2,2,0.26637458849999995,0.2594639305,1.07293,0.006,24058461 | 33485385 | 38720721 | ST003159,Discordant/tie,0.5,TRUE,TRUE
IK_XUYPXLNMDZIRQH-LURJTMIESA-N,N-Acetyl-L-methionine,N-Acetyl-L-methionine | N-Acetylmethionine,XUYPXLNMDZIRQH-LURJTMIESA-N,C7H13NO3S,4,4,2,2,0.2565947195,0.1839351585,0.892973815,0.0035,33485385 | 38720721 | MTBLS11904 | ST003159,Discordant/tie,0.5,TRUE,TRUE
IK_GHOKWGTUZJEAQD-ZETCQYMHSA-N,Pantothenic acid,Pantothenic acid,GHOKWGTUZJEAQD-ZETCQYMHSA-N,C9H17NO5,4,4,2,2,-0.232460973,-0.10294805100000001,0.864432129,1.16e-7,33485385 | 38720721 | MTBLS11904 | ST003159,Discordant/tie,0.5,TRUE,TRUE
IK_YZXBAPSDXZZRGB-DOFZRALJSA-N,Arachidonic acid,Arachidonic acid | FFA 20:4,YZXBAPSDXZZRGB-DOFZRALJSA-N,C20H32O2,4,4,2,2,-0.06310306000000002,-0.048312481500000004,0.621488377,4e-4,33485385 | MTBLS11904 | ST001814 | ST003159,Discordant/tie,0.5,TRUE,TRUE
IK_DRTQHJPVMGBUCF-XVFCMESISA-N,Uridine,Uridine,DRTQHJPVMGBUCF-XVFCMESISA-N,C9H12N2O6,4,4,2,2,0.11713839325,0.1085629225,0.472378175,0.0105,33485385 | 38720721 | MTBLS11904 | ST003159,Discordant/tie,0.5,TRUE,TRUE
IK_PFDUUKDQEHURQC-ZETCQYMHSA-N,3-O-Methyl-a-methyldopa,3-O-Methyl-a-methyldopa | 3-O-Methyldopa,PFDUUKDQEHURQC-ZETCQYMHSA-N,C10H13NO4,3,3,3,0,9.833279423,9.046324417,15.80151503,0.0164,ACS1517 | MTBLS11904 | ST003159,Up in PD,1,FALSE,TRUE
IK_SPJFYYJXNPEZDW-FTJOPAKQSA-N,LysoPC(18:2),"LysoPC(18:2) | LPC 18:2 | LysoPC(18:2(9Z,12Z)/0:0)",SPJFYYJXNPEZDW-FTJOPAKQSA-N,C26H50NO7P,3,3,3,0,0.6062851393333333,0.23878686,1.485426827,0.00552,29518718 | 37755270 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_MBMBGCFOFBJSGT-KUBAVDMBSA-N,Docosahexaenoic Acid,Docosahexaenoic Acid | FFA 22:6,MBMBGCFOFBJSGT-KUBAVDMBSA-N,C22H32O2,3,3,0,3,-0.2793838413333333,-0.094010565,0.736965594,0,33485385 | MTBLS11904 | ST003159,Down in PD,1,FALSE,TRUE
IK_JYGXADMDTFJGBT-VWUMJDOOSA-N,Hydrocortisone,Hydrocortisone | Cortisol,JYGXADMDTFJGBT-VWUMJDOOSA-N,C21H30O5,3,3,3,0,0.36466506666666665,0.275007048,0.5959539,0.0165,33485385 | MTBLS11904 | ST003159,Up in PD,1,FALSE,TRUE
IK_YAMUFBLWGFFICM-PTGWMXDISA-N,LPC 18:1,LPC 18:1 | LysoPC(18:1(9Z)); LysoPC(18:1(11Z)),YAMUFBLWGFFICM-PTGWMXDISA-N,C26H52NO7P,3,3,3,0,0.37649697466666665,0.32998465,0.524499227,4.27e-4,37755270 | 38720721 | ST003159,Up in PD,1,FALSE,TRUE
IK_RCNSAJSGRJSBKK-NSQVQWHSSA-N,Biliverdin,Biliverdin,RCNSAJSGRJSBKK-NSQVQWHSSA-N,C33H34N4O6,3,3,0,3,-0.3751475103333334,-0.333886993,0.514573173,3e-4,33485385 | MTBLS11904 | ST003159,Down in PD,1,FALSE,TRUE
IK_RJZVWDTYEWCUAR-JOCHJYFZSA-N,LPC 15:0,LPC 15:0 | PC(15:0/0:0) | LysoPC(15:0/0:0),RJZVWDTYEWCUAR-JOCHJYFZSA-N,C23H48NO7P,3,3,3,0,0.37880764033333336,0.334850352,0.485426827,9.87e-6,37755270 | 38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
