entity_group,entity_id,canonical_metabolite,all_metabolite_names,n_input_rows,n_studies,studies_present,InChIKey,formula,SMILES,HMDB ID,KEGG ID,PubChem CID,annotation_score,has_formula,has_SMILES,has_HMDB,has_KEGG,has_PubChem,study_prefix,study_id,Log2FC,RT_min,direction,fold_change,int_mean_PD,int_mean_control,int_median_PD,int_median_control,log_PD_mean,log_PD_median,log_control_mean,log_control_median,matrix,mode,mz,n_PD,n_control,p_value,phase,repository,z_PD,z_PD_minus_control,z_control,entity_label,entity_label_short,entity_has_inchikey,direction_from_log2fc,direction_final,neg_log10_p,abs_log2fc,raw_ratio_PD_control,mode_clean,phase_clean,matrix_clean
Inchi,IK_AADLTHQNYQJHQV-SVLGDMRNSA-N,SM d38:1,SM d38:1,1,1,37755270,AADLTHQNYQJHQV-SVLGDMRNSA-N,C43H87N2O6P,CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](/C=C/CCCCCCCCCCCCC)O,NA,NA,44260124,2,TRUE,FALSE,FALSE,FALSE,TRUE,S_37755270,37755270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,serum,NA,NA,50,45,0.0495,LC-MS RP,pubmed,NA,NA,NA,SM d38:1,SM d38:1,TRUE,NA,NA,1.3053948010664314,NA,NA,Not reported,Reverse phase/C18,serum
Inchi,IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N,Diazepam,Diazepam,1,1,MTBLS11904,AAOVKJBEBIDNHE-UHFFFAOYSA-N,C16H13ClN2O,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,NA,C06948,3016,3,TRUE,FALSE,FALSE,TRUE,TRUE,MTBLS11904,MTBLS11904,-0.253662429,6.1938,Down in PD,-0.07636,2.824,2.90036,2.389,2.6045,2.824,2.389,2.90036,2.6045,plasma,positive,285.0778,100,50,NA,LC-MS RP,MetaboLights,-1.829456259,-0.069388843,-1.760067416,Diazepam,Diazepam,TRUE,Down in PD,Down in PD,NA,0.253662429,0.9736722337916671,Positive,Reverse phase/C18,plasma
Inchi,IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N,Quinic Acid,Quinic Acid | L-quinate,2,1,MTBLS11904,AAWZDTNXLSGCEK-LNVDRNJUSA-N,C7H12O6,C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O,NA,C00296,6508,3,TRUE,FALSE,FALSE,TRUE,TRUE,MTBLS11904,MTBLS11904,NA,NA,Up in PD,NA,NA,NA,NA,NA,NA,NA,NA,NA,plasma,negative,NA,100,50,NA,LC-MS RP,MetaboLights,NA,NA,NA,Quinic Acid,Quinic Acid,TRUE,NA,Up in PD,NA,NA,NA,Negative,Reverse phase/C18,plasma
Inchi,IK_ABDMBNAKYBUEEX-QCLAVDOMSA-N,Ecgonine Ethyl Ester,Ecgonine Ethyl Ester,1,1,MTBLS11904,ABDMBNAKYBUEEX-QCLAVDOMSA-N,C11H19NO3,CCOC(=O)[C@@H]1[C@H]2CC[C@H](N2C)C[C@@H]1O,NA,C12448,18656861,3,TRUE,FALSE,FALSE,TRUE,TRUE,MTBLS11904,MTBLS11904,0.002856858,3.5698,Up in PD,8.6e-4,4.7746,4.77374,4.7685,4.7685,4.7746,4.7685,4.77374,4.7685,plasma,positive,231.1699,100,50,NA,LC-MS RP,MetaboLights,-0.056932988,7.81488e-4,-0.057714476,Ecgonine Ethyl Ester,Ecgonine Ethyl Ester,TRUE,Up in PD,Up in PD,NA,0.002856858,1.000180152249599,Positive,Reverse phase/C18,plasma
Inchi,IK_ABFZMYIIUREPLL-ASWJIRIHSA-N,Glycochenodeoxycholic acid 3-glucuronide,Glycochenodeoxycholic acid 3-glucuronide,2,1,MTBLS11904,ABFZMYIIUREPLL-ASWJIRIHSA-N,C32H51NO11,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C)O)C,HMDB02579,NA,44263370,3,TRUE,FALSE,TRUE,FALSE,TRUE,MTBLS11904,MTBLS11904,0.337009605,6.1542,Up in PD,0.10145,5.81939,5.71794,5.8115,5.706,5.81939,5.8115,5.71794,5.706,plasma,negative,624.338,100,50,NA,LC-MS RP,MetaboLights,1.407429934,0.091640581,1.315789353,Glycochenodeoxycholic acid 3-glucuronide,Glycochenodeoxycholic acid 3-glucuronide,TRUE,Up in PD,Up in PD,NA,0.337009605,1.0177424037328129,Negative,Reverse phase/C18,plasma
Inchi,IK_ABOLXXZAJIAUGR-JPMMFUSZSA-N,Ibuprofen glucuronide,Ibuprofen glucuronide,2,1,MTBLS11904,ABOLXXZAJIAUGR-JPMMFUSZSA-N,C19H26O8,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O,HMDB0010343,NA,163959,3,TRUE,FALSE,TRUE,FALSE,TRUE,MTBLS11904,MTBLS11904,0.924492589,5.9508,Up in PD,0.2783,3.0497,2.7714,3.0565,2.764,3.0497,3.0565,2.7714,2.764,plasma,negative,427.1579,100,50,NA,LC-MS RP,MetaboLights,-1.094452778,0.251390573,-1.345843351,Ibuprofen glucuronide,Ibuprofen glucuronide,TRUE,Up in PD,Up in PD,NA,0.924492589,1.100418561016093,Negative,Reverse phase/C18,plasma
Inchi,IK_ABXDBVMGRKZFRC-IOSLPCCCSA-N,3'-O-Methylinosine,3'-O-Methylinosine,2,2,38720721 | MTBLS11904,ABXDBVMGRKZFRC-IOSLPCCCSA-N,C11H14N4O5,CO[C@@H]1[C@H](O[C@H]([C@@H]1O)N2C=NC3=C2N=CNC3=O)CO,NA,NA,136662872,2,TRUE,FALSE,FALSE,FALSE,TRUE,MTBLS11904,MTBLS11904,-0.238979507,4.1654,Down in PD,-0.07194,3.46326,3.5352,3.508,3.5985,3.46326,3.508,3.5352,3.5985,plasma,negative,327.0932,100,50,NA,LC-MS RP,MetaboLights,-0.720880784,-0.064983967,-0.655896818,3'-O-Methylinosine,3'-O-Methylinosine,TRUE,Down in PD,Down in PD,NA,0.238979507,0.9796503733876443,Negative,Reverse phase/C18,plasma
Inchi,IK_ABXDBVMGRKZFRC-IOSLPCCCSA-N,3'-O-Methylinosine,3'-O-Methylinosine,2,2,38720721 | MTBLS11904,ABXDBVMGRKZFRC-IOSLPCCCSA-N,C11H14N4O5,CO[C@@H]1[C@H](O[C@H]([C@@H]1O)N2C=NC3=C2N=CNC3=O)CO,NA,NA,136662872,2,TRUE,FALSE,FALSE,FALSE,TRUE,S_38720721,38720721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,serum,NA,NA,50,45,0.0174,LC-MS RP,pubmed,NA,NA,NA,3'-O-Methylinosine,3'-O-Methylinosine,TRUE,NA,NA,1.7594507517174003,NA,NA,Not reported,Reverse phase/C18,serum
Inchi,IK_ACSFOIGNUQUIGE-AIPUTVCKSA-N,Dihydrocortisol,Dihydrocortisol,1,1,MTBLS11904,ACSFOIGNUQUIGE-AIPUTVCKSA-N,C21H32O5,C[C@]12CCC(=O)C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,NA,C05471,164838,3,TRUE,FALSE,FALSE,TRUE,TRUE,MTBLS11904,MTBLS11904,0.42826297,6.5919,Up in PD,0.12892,4.1944,4.06548,4.23,4.075,4.1944,4.23,4.06548,4.075,plasma,negative,345.2043,100,50,NA,LC-MS RP,MetaboLights,-0.060436285,0.116454448,-0.176890732,Dihydrocortisol,Dihydrocortisol,TRUE,Up in PD,Up in PD,NA,0.42826297,1.0317108926867185,Negative,Reverse phase/C18,plasma
Inchi,IK_ACVGWSKVRYFWRP-UHFFFAOYSA-N,Rutaecarpine,Rutaecarpine,1,1,MTBLS11904,ACVGWSKVRYFWRP-UHFFFAOYSA-N,C18H13N3O,C1CN2C(=NC3=CC=CC=C3C2=O)C4=C1C5=CC=CC=C5N4,NA,C09238,65752,3,TRUE,FALSE,FALSE,TRUE,TRUE,MTBLS11904,MTBLS11904,8.870959833,2.0418,Up in PD,2.670425,2.850741,0.180316,3.562,0.0185,2.850741,3.562,0.180316,0.0185,plasma,negative,324.0572,100,50,NA,LC-MS RP,MetaboLights,-1.274174004,2.412215858,-3.686389862,Rutaecarpine,Rutaecarpine,TRUE,Up in PD,Up in PD,NA,8.870959833,15.809695201756917,Negative,Reverse phase/C18,plasma
