MDS1,MDS2,entity_id,canonical_metabolite,study_id,matrix_clean,mode_clean,phase_clean
0.4713713610830888,8.919820901291736,IK_ZXPULTKTJOBQPE-NWGIQDPJSA-N,C16:1 ceramide,24058461,plasma,Not reported,LC-MS/unspecified
-0.2698911237665223,0.376395035137647,IK_LFULEKSKNZEWOE-UHFFFAOYSA-N,Propanil,38720721,serum,Not reported,Reverse phase/C18
-0.08902751870717325,0.05270449593007569,IK_DEKASDKLVVYODQ-UKHRKFAVSA-N,3-keto Fusidic acid,MTBLS11904,plasma,Positive,Reverse phase/C18
-4.39565315286838,-7.0556065455356425,IK_VISAJVAPYPFKCL-UHFFFAOYSA-N,3-Methoxy-4-hydroxyphenylglycolaldehyde,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.05910947452032949,0.1021819527249815,IK_NSVPCFNUUARRKL-CSKARUKUSA-N,11-Hydroxy-9-tridecenoic acid,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.05537256694528445,0.10829001373437293,IK_RDQUQBHPMYFYMX-XIWVQZPPSA-N,Imidazoleacetic acid ribotide,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.8616135013297913,-1.2224595869822992,IK_UTYVDVLMYQPLQB-UHFFFAOYSA-N,Phenylacetylglycine,MTBLS11904,plasma,Negative,Reverse phase/C18
0.01567063953216945,0.22555113804110388,IK_KSPQDMRTZZYQLM-UHFFFAOYSA-N,N-(2-Furoyl)glycine,MTBLS11904,plasma,Negative,Reverse phase/C18
0.03325965991015933,0.2545828840144953,IK_XSXIVVZCUAHUJO-AVQMFFATSA-N,"11,14-Eicosadienoic acid",MTBLS11904,plasma,Negative,Reverse phase/C18
-0.24347833135592906,-0.2021899688796393,IK_WHNWPMSKXPGLAX-UHFFFAOYSA-N,N-VINYL-2-PYRROLIDONE,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.15563733965085927,-0.057203079855849645,IK_LGVYUZVANMHKHV-UHFFFAOYSA-N,Dihydrogeranylacetone,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.4155480763562379,0.35406154728016775,IK_QUOGESRFPZDMMT-YFKPBYRVSA-N,Homoarginine,38720721,serum,Not reported,Reverse phase/C18
-2.390663080505978,-2.7852914230695403,IK_IDRRCKUGGXLORG-FJXQXJEOSA-N,"3-O-Methyldopa1,2,3",ST003159,serum,Negative,Reverse phase/C18
