PC1,PC2,entity_id,canonical_metabolite,study_id,matrix_clean,mode_clean,phase_clean
-0.2779056971208771,-0.09136476547801273,IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N,Diazepam,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.04943433114722201,-0.07440068272431054,IK_ABDMBNAKYBUEEX-QCLAVDOMSA-N,Ecgonine Ethyl Ester,MTBLS11904,plasma,Positive,Reverse phase/C18
0.2477425279235204,-0.05263584920164452,IK_ABFZMYIIUREPLL-ASWJIRIHSA-N,Glycochenodeoxycholic acid 3-glucuronide,MTBLS11904,plasma,Negative,Reverse phase/C18
0.7702237529352579,-0.014365539523299511,IK_ABOLXXZAJIAUGR-JPMMFUSZSA-N,Ibuprofen glucuronide,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.26451655985148836,-0.09015741624315632,IK_ABXDBVMGRKZFRC-IOSLPCCCSA-N,3'-O-Methylinosine,MTBLS11904,plasma,Negative,Reverse phase/C18
0.328899210707005,-0.04669134558873192,IK_ACSFOIGNUQUIGE-AIPUTVCKSA-N,Dihydrocortisol,MTBLS11904,plasma,Negative,Reverse phase/C18
7.837458139967402,0.5032899079208764,IK_ACVGWSKVRYFWRP-UHFFFAOYSA-N,Rutaecarpine,MTBLS11904,plasma,Negative,Reverse phase/C18
0.34738747129556957,-0.04493651893005801,IK_ACXPNSWGVZLPRG-UHFFFAOYSA-N,3-Hydroxyeicosanoylcarnitine,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.3319908638395748,-0.09538060865777756,IK_ADEORFBTPGKHRP-UHFFFAOYSA-N,"1H-Pyrrole-2,5-dione, 1-[7-(dimethylamino)-4-methyl-2-oxo-2H-1-benzopyran-3-yl]-",MTBLS11904,plasma,Positive,Reverse phase/C18
0.005360925104987101,-0.07033211480901214,IK_ADFXKUOMJKEIND-UHFFFAOYSA-N,"N,N'-Dicyclohexylurea",MTBLS11904,plasma,Positive,Reverse phase/C18
