PC1,PC2,entity_id,canonical_metabolite,study_id,matrix_clean,mode_clean,phase_clean
-0.1873616663622282,0.4694177108679145,IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N,Diazepam,MTBLS11904,plasma,Positive,Reverse phase/C18
0.09081616191888608,0.5110314534914204,IK_ABDMBNAKYBUEEX-QCLAVDOMSA-N,Ecgonine Ethyl Ester,MTBLS11904,plasma,Positive,Reverse phase/C18
0.004095609650772557,0.31265931608403885,IK_ABFZMYIIUREPLL-ASWJIRIHSA-N,Glycochenodeoxycholic acid 3-glucuronide,MTBLS11904,plasma,Negative,Reverse phase/C18
0.6948578617756754,0.2926155555484093,IK_ABOLXXZAJIAUGR-JPMMFUSZSA-N,Ibuprofen glucuronide,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.2958626657962673,-0.08820027569187933,IK_ABXDBVMGRKZFRC-IOSLPCCCSA-N,3'-O-Methylinosine,MTBLS11904,plasma,Negative,Reverse phase/C18
0.333153572082873,0.3616538565157162,IK_ACSFOIGNUQUIGE-AIPUTVCKSA-N,Dihydrocortisol,MTBLS11904,plasma,Negative,Reverse phase/C18
14.752701720175965,-1.739626117614389,IK_ACVGWSKVRYFWRP-UHFFFAOYSA-N,Rutaecarpine,MTBLS11904,plasma,Negative,Reverse phase/C18
0.15769295357477428,-0.25091646404658524,IK_ACXPNSWGVZLPRG-UHFFFAOYSA-N,3-Hydroxyeicosanoylcarnitine,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.37820708694117056,-0.024135783728055443,IK_ADEORFBTPGKHRP-UHFFFAOYSA-N,"1H-Pyrrole-2,5-dione, 1-[7-(dimethylamino)-4-methyl-2-oxo-2H-1-benzopyran-3-yl]-",MTBLS11904,plasma,Positive,Reverse phase/C18
0.1362214121721907,0.44443600823955126,IK_ADFXKUOMJKEIND-UHFFFAOYSA-N,"N,N'-Dicyclohexylurea",MTBLS11904,plasma,Positive,Reverse phase/C18
0.042457262921911786,-0.05138408754797636,IK_ADHNYKZHPOEULM-BQBZGAKWSA-N,Met-Glu,MTBLS11904,plasma,Negative,Reverse phase/C18
0.2571171236456542,-0.15950452054813705,IK_ADQUXZRKOKKULD-CZOXBATISA-N,"15-Hydroxynorandrostene-3,17-dione glucuronide",MTBLS11904,plasma,Positive,Reverse phase/C18
0.13104430146871549,0.5508482674131111,IK_ADUKCCWBEDSMEB-NSHDSACASA-N,Prenalterol,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.05821953035068569,-0.12709010679140864,IK_ADVNUIUADIXWMI-OLZOCXBDSA-N,"(2-((3,5-Di-t-butyl-4-hydroxyphenyl)thio)-1-methylpropoxy)acetic acid",MTBLS11904,plasma,Positive,Reverse phase/C18
-0.9195173866373506,0.3677694507946256,IK_AEAMHDRXCYEOCU-HTDYWKJCSA-N,PC(18:0/18:1(11Z)),MTBLS11904,plasma,Positive,Reverse phase/C18
-0.04203179522715114,-0.230631329147996,IK_AEAPORIZZWBIEX-DTBDINHYSA-N,Rostafuroxin,MTBLS11904,plasma,Positive,Reverse phase/C18
0.08767221037273273,-0.23968301036179382,IK_AEESIZVTDUAOEG-MWQVBOBVSA-N,"Pentadeca-3,6,9-trienedioylcarnitine",MTBLS11904,plasma,Negative,Reverse phase/C18
-0.23374555169754546,0.44403915663102095,IK_AEFNZGGBWOQYID-KQPZCCJBSA-N,Demethylphylloquinol,MTBLS11904,plasma,Positive,Reverse phase/C18
0.3138035035129242,0.4609416625372856,IK_AEMOLEFTQBMNLQ-AQKNRBDQSA-N,D-Glucuronic Acid,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.2543906346793393,0.5173374905770254,IK_AEMOLEFTQBMNLQ-QIUUJYRFSA-N,Beta-D-Glucopyranuronic acid,MTBLS11904,plasma,Negative,Reverse phase/C18
-2.19724030626695,0.7321526454067998,IK_AEMOLEFTQBMNLQ-QIUUJYRFSA-N,Beta-D-Glucopyranuronic acid,24167579,serum,Positive,Reverse phase/C18
-0.17829082060716292,0.46615222052620653,IK_AEOYRSISBCASMX-UHFFFAOYSA-N,4-Phenylbutanoylcarnitine,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.010317622682801966,1.0431432784587877,IK_AERBNCYCJBRYDG-KSZLIROESA-N,Phytosphingosine,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.07509688675201018,0.46252259625389025,IK_AERBNCYCJBRYDG-RGBJRUIASA-N,4-hydroxysphinganine,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.31564928654397656,0.20104224935077605,IK_AEURJYQWJBBJDQ-RRSKNPHNSA-N,PC(22:1(13Z)/LTE4),MTBLS11904,plasma,Negative,Reverse phase/C18
0.19905005099797854,0.36842800471399284,IK_AFENDNXGAFYKQO-UHFFFAOYSA-N,2-hydroxybutyric acid,ST001814,plasma,Positive,GC-MS
-0.2276428092398667,0.4464571469238366,IK_AFENDNXGAFYKQO-UHFFFAOYSA-N,2-hydroxybutyric acid,38720721,serum,Not reported,Reverse phase/C18
0.17975919193886536,-0.2600468594347203,IK_AFKRZUUZFWTBCC-WSTZPKSXSA-N,Penethamate,MTBLS11904,plasma,Negative,Reverse phase/C18
-2.304544846499669,0.5637931305981582,IK_AFWBWPCXSWUCLB-WDSKDSINSA-N,Pro-Ser,38720721,serum,Not reported,Reverse phase/C18
-0.606466513020213,0.5897486761798717,IK_AFWKBSMFXWNGRE-ONEGZZNKSA-N,Dehydrozingerone,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.178379244602655,0.36526847915995225,IK_AFWVBXLXFDAISA-GPRPIQDKSA-N,Eriojaposide B,MTBLS11904,plasma,Positive,Reverse phase/C18
0.4141227810431171,0.7450228939905753,IK_AGBQKNBQESQNJD-SSDOTTSWSA-N,Lipoic acid,38720721,serum,Not reported,Reverse phase/C18
-0.16756223711712337,-0.010261523697841106,IK_AGGWFDNPHKLBBV-YUMQZZPRSA-N,Val-Cit,MTBLS11904,plasma,Positive,Reverse phase/C18
0.22506797845820953,0.47693584569611913,IK_AGMMTXLNIQSRCG-UHFFFAOYSA-N,Quinethazone,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.3269155420438044,0.31695669196060644,IK_AGOYDEPGAOXOCK-KCBOHYOISA-N,Clarithromycin,MTBLS11904,plasma,Positive,Reverse phase/C18
0.6485430795531462,-0.38847112174299325,IK_AGPIOXWTGKGPPK-UHFFFAOYSA-N,Cyclo(glycylleucylvalylleucylprolylseryl),MTBLS11904,plasma,Negative,Reverse phase/C18
0.22324677706272722,0.4987759833064311,IK_AGPKZVBTJJNPAG-AKGZTFGVSA-N,(2S)-2-Amino-3-methylpentanoic acid,35829770,plasma,Positive,HILIC
0.22966400336765413,0.5352431048090422,IK_AGPKZVBTJJNPAG-CRCLSJGQSA-N,D-Alloisoleucine,35829770,plasma,Positive,Reverse phase/C18
0.195564245421464,1.561387883861109,IK_AGPKZVBTJJNPAG-UHFFFAOYNA-N,Isoleucine,ST001814,plasma,Positive,GC-MS
0.41123582697062844,1.6806786181939737,IK_AGPKZVBTJJNPAG-UHFFFAOYNA-N,Isoleucine,35829770,plasma,Positive,HILIC
-0.06350689717393336,1.623649144559446,IK_AGPKZVBTJJNPAG-UHFFFAOYNA-N,Isoleucine,37755270,serum,Not reported,Reverse phase/C18
0.30989220986843885,0.5068057205360903,IK_AGPKZVBTJJNPAG-UHFFFAOYSA-N,(+/-)-erythro-Isoleucine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.4316467396015945,1.7648823714415935,IK_AGPKZVBTJJNPAG-WHFBIAKZSA-N,L-Isoleucine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.28206803126126545,1.4160683474293705,IK_AGPKZVBTJJNPAG-WHFBIAKZSA-N,L-Isoleucine,28880465,serum,Positive,LC-MS/unspecified
0.4112357372087889,1.6806785928833345,IK_AGPKZVBTJJNPAG-WHFBIAKZSA-N,L-Isoleucine,35829770,plasma,Positive,HILIC
0.32094542709437496,0.4227571204888465,IK_AGSPXMVUFBBBMO-UHFFFAOYSA-N,Beta-Aminopropionitrile,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.09437288504120728,0.3049471059101943,IK_AGVRWBBFKKEVAX-QIEOIKHQSA-N,LysoPI(0:0/18:0),MTBLS11904,plasma,Negative,Reverse phase/C18
-0.14351275905950764,-0.1731176579199475,IK_AHANXAKGNAKFSK-PDBXOOCHSA-N,Dihomo-alpha-linolenic acid,MTBLS11904,plasma,Negative,Reverse phase/C18
0.20187385522415843,-0.026946172808823936,IK_AHJCDQGRYVBQQZ-NSCUHMNNSA-N,Methoxymalic acid,MTBLS11904,plasma,Negative,Reverse phase/C18
0.6167942149363284,1.1310135419934346,IK_AHLPHDHHMVZTML-SCSAIBSYSA-N,D-Ornithine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.6491091847240453,1.7480767468816403,IK_AHLPHDHHMVZTML-UHFFFAOYSA-N,Ornithine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.07251154620949773,1.393621972921061,IK_AHLPHDHHMVZTML-UHFFFAOYSA-N,Ornithine,ST001814,plasma,Positive,GC-MS
0.5684375667009813,1.3908872211442298,IK_AHLPHDHHMVZTML-UHFFFAOYSA-N,Ornithine,28880465,serum,Positive,LC-MS/unspecified
0.6408810009707668,1.5632953874188071,IK_AHLPHDHHMVZTML-UHFFFAOYSA-N,Ornithine,34577635,serum,Not reported,LC-MS/unspecified
0.37785521921328336,1.4958118987945495,IK_AHLPHDHHMVZTML-UHFFFAOYSA-N,Ornithine,35829770,plasma,Positive,HILIC
0.2291075806820366,-0.16908344564166436,IK_AHTAWKLQNJKVCN-UHFFFAOYSA-N,4-Oxooctanoylcarnitine,MTBLS11904,plasma,Positive,Reverse phase/C18
