entity_id,label,Up in PD,Down in PD,consistency_score,n_studies_with_log2fc
IK_OUYCCCASQSFEME-UHFFFAOYNA-N,Tyrosine,2,2,0.5,4
IK_VKOBVWXKNCXXDE-UHFFFAOYSA-N,arachidic acid,2,2,0.5,4
IK_XUYPXLNMDZIRQH-LURJTMIESA-N,N-Acetyl-L-methionine,2,2,0.5,4
IK_GHOKWGTUZJEAQD-ZETCQYMHSA-N,Pantothenic acid,2,2,0.5,4
IK_YZXBAPSDXZZRGB-DOFZRALJSA-N,Arachidonic acid,2,2,0.5,4
IK_DRTQHJPVMGBUCF-XVFCMESISA-N,Uridine,2,2,0.5,4
IK_YGPSJZOEDVAXAB-UHFFFAOYSA-N,Kynurenine,1,3,0.75,4
IK_MWOOGOJBHIARFG-UHFFFAOYSA-N,Vanillin,2,1,0.6666666666666666,3
IK_ZDXPYRJPNDTMRX-VKHMYHEASA-N,Glutamine,2,1,0.6666666666666666,3
IK_UGQMRVRMYYASKQ-KQYNXXCUSA-N,Inosine,1,2,0.6666666666666666,3
IK_PVNIIMVLHYAWGP-UHFFFAOYSA-N,nicotinic acid,1,2,0.6666666666666666,3
IK_COLNVLDHVKWLRT-UHFFFAOYNA-N,Phenylalanine,2,1,0.6666666666666666,3
IK_FDGQSTZJBFJUBT-UHFFFAOYSA-N,Hypoxanthine,2,1,0.6666666666666666,3
IK_WHUUTDBJXJRKMK-VKHMYHEASA-N,Glutamic acid,2,1,0.6666666666666666,3
IK_WWNNZCOKKKDOPX-UHFFFAOYSA-N,Trigonelline,1,2,0.6666666666666666,3
IK_WHBMMWSBFZVSSR-UHFFFAOYSA-N,3-Hydroxybutyric acid,2,1,0.6666666666666666,3
IK_UKMSUNONTOPOIO-UHFFFAOYSA-N,Behenic acid,1,2,0.6666666666666666,3
IK_OYHQOLUKZRVURQ-HZJYTTRNSA-N,Linoleic acid,2,1,0.6666666666666666,3
IK_CZWCKYRVOZZJNM-USOAJAOKSA-N,dehydroepiandrosterone sulfate,1,2,0.6666666666666666,3
IK_SECPZKHBENQXJG-FPLPWBNLSA-N,Palmitoleic acid,1,2,0.6666666666666666,3
IK_ZQPPMHVWECSIRJ-KTKRTIGZSA-N,Oleic acid,2,1,0.6666666666666666,3
IK_BKAJNAXTPSGJCU-UHFFFAOYSA-N,4-Methyl-2-oxovaleric Acid,2,1,0.6666666666666666,3
IK_AHLPHDHHMVZTML-UHFFFAOYSA-N,Ornithine,2,1,0.6666666666666666,3
IK_QIVBCDIJIAJPQS-VIFPVBQESA-N,Tryptophan,2,1,0.6666666666666666,3
IK_DTOSIQBPPRVQHS-PDBXOOCHSA-N,Linolenic Acid,1,2,0.6666666666666666,3
