entity_id,canonical_metabolite,all_metabolite_names,InChIKey,formula,n_studies_with_log2fc,n_effect_observations,n_up,n_down,mean_log2fc,median_log2fc,max_abs_log2fc,min_p_value,studies,dominant_direction,consistency_score,discordant,recurrent,label
IK_YGPSJZOEDVAXAB-UHFFFAOYSA-N,Kynurenine,Kynurenine,YGPSJZOEDVAXAB-UHFFFAOYSA-N,C10H12N2O3,4,4,1,3,-0.12455029225,-0.160452361,0.217591435,0.0113,33485385 | 38720721 | MTBLS11904 | ST003159,Down in PD,0.75,TRUE,TRUE,Kynurenine
IK_PVNIIMVLHYAWGP-UHFFFAOYSA-N,nicotinic acid,nicotinic acid | Niacin,PVNIIMVLHYAWGP-UHFFFAOYSA-N,C6H5NO2,3,3,1,2,-1.3623039526666667,-1.578380915,2.969011413,5.2e-6,38516193 | 38720721 | MTBLS11904,Down in PD,0.6666666666666666,TRUE,TRUE,nicotinic acid
IK_UGQMRVRMYYASKQ-KQYNXXCUSA-N,Inosine,Inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,C10H12N4O5,3,3,1,2,-1.325148432,-0.434402824,4.056472835,0.0686,28880465 | MTBLS11904 | ST003159,Down in PD,0.6666666666666666,TRUE,TRUE,Inosine
IK_WWNNZCOKKKDOPX-UHFFFAOYSA-N,Trigonelline,Trigonelline,WWNNZCOKKKDOPX-UHFFFAOYSA-N,C7H7NO2,3,3,1,2,-0.632521829,-0.915935735,1.084842058,0.0119,33485385 | MTBLS11904 | ST003159,Down in PD,0.6666666666666666,TRUE,TRUE,Trigonelline
IK_CZWCKYRVOZZJNM-USOAJAOKSA-N,dehydroepiandrosterone sulfate,dehydroepiandrosterone sulfate,CZWCKYRVOZZJNM-USOAJAOKSA-N,C19H28O5S,3,3,1,2,-0.40052454333333337,-0.621488377,0.727379545,2.34e-4,37755270 | 38720721 | MTBLS11904,Down in PD,0.6666666666666666,TRUE,TRUE,dehydroepiandrosterone sulfate
IK_RCNSAJSGRJSBKK-NSQVQWHSSA-N,Biliverdin,Biliverdin,RCNSAJSGRJSBKK-NSQVQWHSSA-N,C33H34N4O6,3,3,0,3,-0.3751475103333334,-0.333886993,0.514573173,3e-4,33485385 | MTBLS11904 | ST003159,Down in PD,1,FALSE,TRUE,Biliverdin
IK_MBMBGCFOFBJSGT-KUBAVDMBSA-N,Docosahexaenoic Acid,Docosahexaenoic Acid | FFA 22:6,MBMBGCFOFBJSGT-KUBAVDMBSA-N,C22H32O2,3,3,0,3,-0.2793838413333333,-0.094010565,0.736965594,0,33485385 | MTBLS11904 | ST003159,Down in PD,1,FALSE,TRUE,Docosahexaenoic Acid
IK_BHYOQNUELFTYRT-DPAQBDIFSA-N,cholesterol 3-sulfate,cholesterol 3-sulfate | Cholesterol sulfate,BHYOQNUELFTYRT-DPAQBDIFSA-N,C27H46O4S,3,3,1,2,-0.23833261766666666,-0.358453971,0.36215794,3.75e-6,37755270 | 38720721 | MTBLS11904,Down in PD,0.6666666666666666,TRUE,TRUE,cholesterol 3-sulfate
IK_DTOSIQBPPRVQHS-PDBXOOCHSA-N,Linolenic Acid,Linolenic Acid | FFA 18:3,DTOSIQBPPRVQHS-PDBXOOCHSA-N,C18H30O2,3,3,1,2,-0.159374234,-0.187057771,0.377069649,0.0331,33485385 | MTBLS11904 | ST003159,Down in PD,0.6666666666666666,TRUE,TRUE,Linolenic Acid
IK_HNDVDQJCIGZPNO-YFKPBYRVSA-N,Histidine,Histidine | L-Histidine,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2,3,3,0,3,-0.10774753766666667,-0.072019401,0.241270432,0.00827,38720721 | MTBLS11904 | ST001814,Down in PD,1,FALSE,TRUE,Histidine
IK_SECPZKHBENQXJG-FPLPWBNLSA-N,Palmitoleic acid,Palmitoleic acid | FA 16:1,SECPZKHBENQXJG-FPLPWBNLSA-N,C16H30O2,3,3,1,2,-0.052348211333333346,-0.197388967,0.596737682,0.00633,37755270 | MTBLS11904 | ST001814,Down in PD,0.6666666666666666,TRUE,TRUE,Palmitoleic acid
IK_UKMSUNONTOPOIO-UHFFFAOYSA-N,Behenic acid,Behenic acid | C22:0 ceramide,UKMSUNONTOPOIO-UHFFFAOYSA-N,C22H44O2,3,3,1,2,0.08788454733333333,-0.388100859,1.066792,0.01,24058461 | 37755270 | MTBLS11904,Down in PD,0.6666666666666666,TRUE,TRUE,Behenic acid
IK_RGHMISIYKIHAJW-UHFFFAOYSA-N,"3,4-Dihydroxymandelic acid","3,4-Dihydroxymandelic acid | 3,4-dihydroxymandelate",RGHMISIYKIHAJW-UHFFFAOYSA-N,C8H8O5,2,2,0,2,-1.888486222,-1.888486222,3.605261981,0.0066,38516193 | MTBLS11904,Down in PD,1,FALSE,TRUE,"3,4-Dihydroxymandelic acid"
IK_COLNVLDHVKWLRT-QMMMGPOBSA-N,L-Phenylalanine,L-Phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,C9H11NO2,2,2,0,2,-1.655486282,-1.655486282,3.229585326,1.4e-6,38516193 | MTBLS11904,Down in PD,1,FALSE,TRUE,L-Phenylalanine
IK_UHDGCWIWMRVCDJ-XVFCMESISA-N,melatonin,melatonin | Cytidine,UHDGCWIWMRVCDJ-XVFCMESISA-N,C9H13N3O5,2,2,0,2,-1.6304691674999998,-1.6304691674999998,3.109358756,4.4e-7,38516193 | MTBLS11904,Down in PD,1,FALSE,TRUE,melatonin
IK_RYYVLZVUVIJVGH-UHFFFAOYSA-N,Caffeine,Caffeine | Caffine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,C8H10N4O2,2,2,0,2,-1.4339772014999999,-1.4339772014999999,1.787866492,1.6e-4,38720721 | ACS1517,Down in PD,1,FALSE,TRUE,Caffeine
IK_BMLMGCPTLHPWPY-REOHCLBHSA-N,Procysteine,Procysteine | 2-Oxothiazolidine-4-carboxylic acid,BMLMGCPTLHPWPY-REOHCLBHSA-N,C4H5NO3S,2,2,0,2,-1.1976977304999998,-1.1976977304999998,2.190997225,0.00187,38720721 | MTBLS11904,Down in PD,1,FALSE,TRUE,Procysteine
IK_NSYSSMYQPLSPOD-UHFFFAOYSA-N,4-Hydroxy-6-methyl-2-pyrone,4-Hydroxy-6-methyl-2-pyrone,NSYSSMYQPLSPOD-UHFFFAOYSA-N,C6H6O3,2,2,0,2,-1.16948545,-1.16948545,1.61705613,1.63e-7,38720721 | MTBLS11904,Down in PD,1,FALSE,TRUE,4-Hydroxy-6-methyl-2-pyrone
IK_AEMOLEFTQBMNLQ-QIUUJYRFSA-N,Beta-D-Glucopyranuronic acid,Beta-D-Glucopyranuronic acid | b-D-Glucopyranuronic acid,AEMOLEFTQBMNLQ-QIUUJYRFSA-N,C6H10O7,2,2,0,2,-0.980898964,-0.980898964,1.64385619,NA,24167579 | MTBLS11904,Down in PD,1,FALSE,TRUE,Beta-D-Glucopyranuronic acid
IK_CTYRPMDGLDAWRQ-UHFFFAOYSA-N,Phenol sulphate,Phenol sulphate | Phenol sulfate,CTYRPMDGLDAWRQ-UHFFFAOYSA-N,C6H6O4S,2,2,0,2,-0.9108864795,-0.9108864795,1.689659879,5.33e-5,37755270 | MTBLS11904,Down in PD,1,FALSE,TRUE,Phenol sulphate
IK_UWHZIFQPPBDJPM-BQYQJAHWSA-N,Vaccenic acid,Vaccenic acid,UWHZIFQPPBDJPM-BQYQJAHWSA-N,C18H34O2,2,2,0,2,-0.8601295929999999,-0.8601295929999999,1.035245671,0.00417,38720721 | MTBLS11904,Down in PD,1,FALSE,TRUE,Vaccenic acid
IK_ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Theophylline,Theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,C7H8N4O2,2,2,0,2,-0.8043804775000001,-0.8043804775000001,0.985051338,0.00248,38720721 | MTBLS11904,Down in PD,1,FALSE,TRUE,Theophylline
IK_GPWHCUUIQMGELX-VHQDNGOZSA-N,PC 32:2,PC 32:2,GPWHCUUIQMGELX-VHQDNGOZSA-N,C40H76NO8P,2,2,0,2,-0.6740128114999999,-0.6740128114999999,1.061721438,5e-4,33485385 | ST003159,Down in PD,1,FALSE,TRUE,PC 32:2
IK_POQOTWQIYYNXAT-UHFFFAOYSA-N,5-Acetylamino-6-amino-3-methyluracil,5-Acetylamino-6-amino-3-methyluracil | 5-Acetylamino-6 amino-3-methyluracil,POQOTWQIYYNXAT-UHFFFAOYSA-N,C7H8N4O2 | C7H10N4O3,2,2,0,2,-0.6087118444999999,-0.6087118444999999,0.713118852,0.00247,28880465 | 38720721,Down in PD,1,FALSE,TRUE,5-Acetylamino-6-amino-3-methyluracil
IK_PDNJLMZEGXHSCU-UHFFFAOYSA-N,Homocysteinesulfinic acid,Homocysteinesulfinic acid | L-Homocysteine sulfonic acid [+NH3],PDNJLMZEGXHSCU-UHFFFAOYSA-N,C4H9NO4S,2,2,0,2,-0.5894863515,-0.5894863515,0.892668518,0.0123,28880465 | MTBLS11904,Down in PD,1,FALSE,TRUE,Homocysteinesulfinic acid
