entity_id,predicted_Class,confidence,canonical_metabolite
IK_ANVLMUZOIWITMQ-UHFFFAOYSA-N,Organooxygen compounds,0.960602791285583,"3-[(1R,2R,3S)-3-Carboxy-1,2,3-trihydroxypropyl]dioxirane-3-carboxylic acid"
IK_ASBJGPTTYPEMLP-UWTATZPHSA-N,Carboxylic acids and derivatives,0.9921934612532366,3-Chloro-D-alanine
IK_ASSAYFMXRNLTCY-UHFFFAOYSA-N,Benzene and substituted derivatives,0.25936897637891454,22-Acetylpriverogenin B
IK_BBJIPMIXTXKYLZ-UHFFFAOYSA-N,Carboxylic acids and derivatives,0.6432680052299841,3-Aminopentanedioic Acid
IK_BFZDKPVWJYFECC-OFCLATOASA-N,Glycerophospholipids,0.7365486557720946,PC aa C34:4
IK_BOUXQAITXDAJSF-UHFFFAOYSA-N,Azobenzenes,0.9914276008565079,Sulfasalazine B
IK_BXRLWGXPSRYJDZ-UHFFFAOYSA-N,Carboxylic acids and derivatives,0.9958705795800847,3-Cyanoalanine
IK_BXYPVKMROLGXJI-UHFFFAOYSA-N,Pyridines and derivatives,0.8981645883486572,N'-nitrosoanabasine
IK_CGFRVKXGZRODPA-UHFFFAOYSA-N,Organic sulfuric acids and derivatives,0.7082902066577207,3-Acetylphenol sulfate
IK_CNJGWCQEGROXEE-UHFFFAOYSA-N,Carboxylic acids and derivatives,0.8879779332210519,"3,5-dichlorosalicylic acid"
IK_DHNSTMIMQCKEPC-UHFFFAOYSA-N,Fatty Acyls,0.841620491650119,"3,4-Methyleneazelaic acid"
IK_DHUAGGSHTKPOHU-UHFFFAOYSA-N,Carboxylic acids and derivatives,0.3703130892942897,"3,4-Dihydro-9-hydroxy-[1]benzothieno[2,3-f]-1,4-thiazepin-5(2H)-one"
IK_DMNOQQUULVKPTE-UHFFFAOYSA-N,Organic sulfuric acids and derivatives,0.654748837842049,"3,5-dihydroxy-4-(sulfooxy)benzoic acid"
IK_DZAUWHJDUNRCTF-UHFFFAOYSA-N,Phenols,0.4893067317677041,"3,4-Dihydroxyhydrocinnamic acid"
IK_FPTSLKCBYZXNAK-UZYVYHOESA-N,Glycerophospholipids,0.7267218512482468,LNAPE 18:1/N-20:0
IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N,Carboxylic acids and derivatives,0.23557556251114037,"2-Propenoic acid, 2-methyl-, 7-oxabicyclo[4.1.0]hept-3-ylmethyl ester"
IK_GHOKWGTUZJEAQD-UHFFFAOYSA-N,Organooxygen compounds,0.4003788751089043,"3-[[(2S)-2,4-Dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid"
