entity_id,predicted_primary_pathway,confidence,canonical_metabolite
IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N,Glycerophospholipid metabolism,0.1792996233076101,Diazepam
IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N,Linoleic acid metabolism,0.8860350846825836,Quinic Acid
IK_ABDMBNAKYBUEEX-QCLAVDOMSA-N,Glycerophospholipid metabolism,0.1792996233076101,Ecgonine Ethyl Ester
IK_ABXDBVMGRKZFRC-IOSLPCCCSA-N,Purine metabolism,0.6373917574409135,3'-O-Methylinosine
IK_ACVGWSKVRYFWRP-UHFFFAOYSA-N,Tryptophan metabolism,0.641109496502041,Rutaecarpine
IK_ACXPNSWGVZLPRG-UHFFFAOYSA-N,Fatty acid degradation,0.3163832670819836,3-Hydroxyeicosanoylcarnitine
IK_ADEORFBTPGKHRP-UHFFFAOYSA-N,Galactose metabolism,0.6241834095673637,"1H-Pyrrole-2,5-dione, 1-[7-(dimethylamino)-4-methyl-2-oxo-2H-1-benzopyran-3-yl]-"
IK_ADFXKUOMJKEIND-UHFFFAOYSA-N,Glycerophospholipid metabolism,0.42139229069871575,"N,N'-Dicyclohexylurea"
IK_ADHNYKZHPOEULM-BQBZGAKWSA-N,Glycerophospholipid metabolism,0.2804437113202625,Met-Glu
IK_ADUKCCWBEDSMEB-NSHDSACASA-N,Tryptophan metabolism,0.9088662153562209,Prenalterol
IK_ADVNUIUADIXWMI-OLZOCXBDSA-N,Tyrosine metabolism,0.1635543068508073,"(2-((3,5-Di-t-butyl-4-hydroxyphenyl)thio)-1-methylpropoxy)acetic acid"
IK_AEAPORIZZWBIEX-DTBDINHYSA-N,Steroid hormone biosynthesis,0.9786237736249745,Rostafuroxin
IK_AEESIZVTDUAOEG-MWQVBOBVSA-N,Sphingolipid metabolism,0.280925520713063,"Pentadeca-3,6,9-trienedioylcarnitine"
IK_AEFNZGGBWOQYID-KQPZCCJBSA-N,Glycerophospholipid metabolism,0.984588315649547,Demethylphylloquinol
IK_AEMOLEFTQBMNLQ-AQKNRBDQSA-N,Linoleic acid metabolism,0.16528197752208434,D-Glucuronic Acid
IK_AEMOLEFTQBMNLQ-QIUUJYRFSA-N,Glycerophospholipid metabolism,0.14740162143439514,Beta-D-Glucopyranuronic acid
IK_AEOYRSISBCASMX-UHFFFAOYSA-N,Fatty acid degradation,0.30151840671709,4-Phenylbutanoylcarnitine
IK_AEURJYQWJBBJDQ-RRSKNPHNSA-N,Linoleic acid metabolism,0.4775382370828687,PC(22:1(13Z)/LTE4)
IK_AFKRZUUZFWTBCC-WSTZPKSXSA-N,Glycerophospholipid metabolism,0.9964976740930976,Penethamate
IK_AFKYRGZSSLJQQW-NOFZOIBWSA-N,Linoleic acid metabolism,0.4785400236062446,SM d41:5
IK_AFSHUZFNMVJNKX-CLFAGFIQSA-N,Glycerophospholipid metabolism,0.44309572734013586,DG 18:1_18:1
IK_AFWBWPCXSWUCLB-WDSKDSINSA-N,Arginine and proline metabolism,0.5299333930925078,Pro-Ser
IK_AFWKBSMFXWNGRE-ONEGZZNKSA-N,Tyrosine metabolism,0.7006642633251492,Dehydrozingerone
IK_AFWVBXLXFDAISA-GPRPIQDKSA-N,Glycerophospholipid metabolism,0.9991438624707616,Eriojaposide B
IK_AGBQKNBQESQNJD-SSDOTTSWSA-N,Tryptophan metabolism,0.9969898407124043,Lipoic acid
IK_AGGWFDNPHKLBBV-YUMQZZPRSA-N,Arginine biosynthesis,0.3570088808409633,Val-Cit
IK_AGLLGVGIYDAODS-PVCMTRMKSA-N,Linoleic acid metabolism,0.4291283617308149,PC 42:6
IK_AGMMTXLNIQSRCG-UHFFFAOYSA-N,Starch and sucrose metabolism,0.5743837042366005,Quinethazone
IK_AGOYDEPGAOXOCK-KCBOHYOISA-N,Glycolysis or Gluconeogenesis,0.759537098853553,Clarithromycin
IK_AGPIOXWTGKGPPK-UHFFFAOYSA-N,Glycerophospholipid metabolism,0.13303991926454234,Cyclo(glycylleucylvalylleucylprolylseryl)
IK_AGPKZVBTJJNPAG-AKGZTFGVSA-N,"Valine, leucine and isoleucine biosynthesis",0.6135081264239596,(2S)-2-Amino-3-methylpentanoic acid
IK_AGPKZVBTJJNPAG-CRCLSJGQSA-N,"Valine, leucine and isoleucine biosynthesis",0.6135081264239596,D-Alloisoleucine
IK_AGPKZVBTJJNPAG-UHFFFAOYSA-N,"Valine, leucine and isoleucine biosynthesis",0.613084085690367,(+/-)-erythro-Isoleucine
IK_AGPKZVBTJJNPAG-UHNVWZDZSA-N,"Valine, leucine and isoleucine biosynthesis",0.6135081264239596,L-Alloisoleucine
IK_AGSPXMVUFBBBMO-UHFFFAOYSA-N,"Valine, leucine and isoleucine biosynthesis",0.47649554091121316,Beta-Aminopropionitrile
IK_AGVRWBBFKKEVAX-QIEOIKHQSA-N,Glycerophospholipid metabolism,0.5772100928686066,LysoPI(0:0/18:0)
IK_AHANXAKGNAKFSK-PDBXOOCHSA-N,Biosynthesis of unsaturated fatty acids,0.3448353000872638,Dihomo-alpha-linolenic acid
IK_AHJCDQGRYVBQQZ-NSCUHMNNSA-N,Citrate cycle (TCA cycle),0.9768286373762365,Methoxymalic acid
IK_AHLPHDHHMVZTML-UHFFFAOYSA-N,Arginine biosynthesis,0.1966234104808923,Ornithine
IK_AHTAWKLQNJKVCN-UHFFFAOYSA-N,Fatty acid degradation,0.3323561532019728,4-Oxooctanoylcarnitine
IK_AIQDYKMWENWVQJ-QIUUJYRFSA-K,Glycerophospholipid metabolism,0.15340336339178565,Alpha-D-glucuronate 1-phosphate
IK_AIUFHSHETJXZFR-ATCSHJOVSA-N,Glycerophospholipid metabolism,0.5493537232111985,"DG(18:3(9,11,15)-OH(13)/i-15:0/0:0)"
IK_AJBBHZDIKZCZAI-UHFFFAOYSA-N,Biosynthesis of unsaturated fatty acids,0.3926642297125109,"8,11-eicosadiynoic acid"
IK_AJMZUFBKADIAKC-SKTOPKGQSA-N,Glycerophospholipid metabolism,0.4385299804530623,"DG(18:0/18:2(9Z,12Z)/0:0)"
IK_AJOQSQHYDOFIOX-UHFFFAOYSA-N,Tyrosine metabolism,0.152039399334396,Pheneturide
IK_AJSDVNKVGFVAQU-PRJMDXOYSA-N,Glycerophospholipid metabolism,0.15340336339178565,Cladinose
IK_AJSJFDUIZFXAQY-UHFFFAOYSA-N,Steroid hormone biosynthesis,0.9776265243536607,Malathion monocarboxylic acid
IK_AJWIFVNLXHFTFD-NSCUHMNNSA-N,Primary bile acid biosynthesis,0.9762894565365267,Methyl 7-epi-12-hydroxyjasmonate glucoside
IK_AKAHWGGIUSJNNM-BQBZGAKWSA-N,Arginine biosynthesis,0.3432861457723315,Gamma-glutamyl-glutamine
IK_AKASWINDKIEEBO-ZJUUUORDSA-N,Steroid hormone biosynthesis,0.9831649388303596,(+)-Rotundifolone
IK_AKUHMVHZLHMOIV-MMRRFZAGSA-N,Linoleic acid metabolism,0.4727837018900287,DGTS(4:0/22:6)
IK_AKUJBENLRBOFTD-RPRRAYFGSA-N,Primary bile acid biosynthesis,0.9409568033635753,Dexamethasone acetate
IK_ALPFACMJGXQCHP-TUUIQCBBSA-N,Glycerophospholipid metabolism,0.628026117774719,DG(PGD2/0:0/18:0)
IK_ALTAAUJNHYWOGS-UHFFFAOYSA-N,Citrate cycle (TCA cycle),0.9542745332770299,Trans-4-Hydroxycyclohexylacetic acid
IK_ALYNCZNDIQEVRV-UHFFFAOYSA-N,Ubiquinone and other terpenoid-quinone biosynthesis,0.3669387792539282,p-Aminobenzoic acid
IK_AMDPNECWKZZEBQ-UHFFFAOYSA-N,Glycerophospholipid metabolism,0.9792292203771512,"5,5-Diphenyl-2-thiohydantoin"
IK_AMPNNTLXPJCDJF-UHFFFAOYSA-N,"Alanine, aspartate and glutamate metabolism",0.5195939768104118,Ethylenediaminetetraaceticacid
IK_AMTPYFGPPVFBBI-UHFFFAOYSA-N,Linoleic acid metabolism,0.9734895229250018,Acedapsone
IK_AMVYOVYGIJXTQB-UHFFFAOYSA-N,Glycerophospholipid metabolism,0.12569090125178908,Difenoxuron (4 other possible)
IK_AMXYRHBJZOVHOL-UHFFFAOYSA-N,Biosynthesis of unsaturated fatty acids,0.9577932937383287,"2,6-Nonadien-1-ol"
IK_ANDIJCDJHMZLND-DAWNVERKSA-N,Glycerophospholipid metabolism,0.44302017775982583,PE O-17:1_18:2
IK_ANGCIHCSPJLGME-UHFFFAOYSA-N,Steroid hormone biosynthesis,0.8753433667962224,Physalolactone B
IK_ANKFOZDLPDQNEO-UHFFFAOYSA-N,Arginine biosynthesis,0.533839867862958,N-Myristoyl Arginine
IK_ANKFPIBCTISOBX-UHFFFAOYSA-N,Glycerophospholipid metabolism,0.491907234672797,Petasalbin
IK_ANQQVTWQIBPDKQ-UHFFFAOYSA-N,Biosynthesis of unsaturated fatty acids,0.29306901994667284,11-Oxohexadecanoic acid
IK_ANVLMUZOIWITMQ-UHFFFAOYSA-N,Ascorbate and aldarate metabolism,0.9660856051411097,"3-[(1R,2R,3S)-3-Carboxy-1,2,3-trihydroxypropyl]dioxirane-3-carboxylic acid"
IK_AOCBVTCNGCHPPQ-UHFFFAOYSA-N,Fatty acid degradation,0.2938647673795328,4-Amino-3-hydroxybutanoylcarnitine
IK_AOHCBEAZXHZMOR-UHFFFAOYSA-N,Tryptophan metabolism,0.4337523418134726,Hypaphorine
IK_AOHCBEAZXHZMOR-ZDUSSCGKSA-N,Tryptophan metabolism,0.433729807307122,Lenticin
IK_AOMXURITGZJPKB-ZETCQYMHSA-N,Arginine biosynthesis,0.4414294583458776,N-OMEGA-PROPYL-L-ARGININE
IK_AOPMSFXOYJXDNJ-IRFSQMTFSA-N,Glycerophospholipid metabolism,0.9257802301130688,Plumieride
IK_AOQMRUTZEYVDIL-UHFFFAOYSA-N,Glycerophospholipid metabolism,0.4074131915845978,Flupoxam
IK_AORCXYMSPVAQIZ-UHFFFAOYSA-N,Glycerophospholipid metabolism,0.9727612358277403,"1,4-Ipomeadiol"
IK_AOXITOVWUAKZHT-CCKFTAQKSA-N,Tyrosine metabolism,0.4323424458618097,Glycyl Phenylalanine
