entity_id,canonical_metabolite,all_metabolite_names,InChIKey,formula,n_studies_with_log2fc,n_effect_observations,n_up,n_down,mean_log2fc,median_log2fc,max_abs_log2fc,min_p_value,studies,dominant_direction,consistency_score,discordant,recurrent,label
IK_PFDUUKDQEHURQC-ZETCQYMHSA-N,3-O-Methyl-a-methyldopa,3-O-Methyl-a-methyldopa | 3-O-Methyldopa,PFDUUKDQEHURQC-ZETCQYMHSA-N,C10H13NO4,3,3,3,0,9.833279423,9.046324417,15.80151503,0.0164,ACS1517 | MTBLS11904 | ST003159,Up in PD,1,FALSE,TRUE,3-O-Methyl-a-methyldopa
IK_MWOOGOJBHIARFG-UHFFFAOYSA-N,Vanillin,Vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,C8H8O3,3,3,2,1,1.316088848,0.344828497,5.030063521,4.15e-4,28880465 | 38720721 | MTBLS11904,Up in PD,0.6666666666666666,TRUE,TRUE,Vanillin
IK_COLNVLDHVKWLRT-UHFFFAOYNA-N,Phenylalanine,Phenylalanine,COLNVLDHVKWLRT-UHFFFAOYNA-N,C9H11NO3,3,3,2,1,0.62232946199999994,0.021960072,2.201633861,6.74e-5,29518718 | 38720721 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE,Phenylalanine
IK_SPJFYYJXNPEZDW-FTJOPAKQSA-N,LysoPC(18:2),"LysoPC(18:2) | LPC 18:2 | LysoPC(18:2(9Z,12Z)/0:0)",SPJFYYJXNPEZDW-FTJOPAKQSA-N,C26H50NO7P,3,3,3,0,0.6062851393333333,0.23878686,1.485426827,0.00552,29518718 | 37755270 | MTBLS11904,Up in PD,1,FALSE,TRUE,LysoPC(18:2)
IK_RJZVWDTYEWCUAR-JOCHJYFZSA-N,LPC 15:0,LPC 15:0 | PC(15:0/0:0) | LysoPC(15:0/0:0),RJZVWDTYEWCUAR-JOCHJYFZSA-N,C23H48NO7P,3,3,3,0,0.37880764033333336,0.334850352,0.485426827,9.87e-6,37755270 | 38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE,LPC 15:0
IK_YAMUFBLWGFFICM-PTGWMXDISA-N,LPC 18:1,LPC 18:1 | LysoPC(18:1(9Z)); LysoPC(18:1(11Z)),YAMUFBLWGFFICM-PTGWMXDISA-N,C26H52NO7P,3,3,3,0,0.37649697466666665,0.32998465,0.524499227,4.27e-4,37755270 | 38720721 | ST003159,Up in PD,1,FALSE,TRUE,LPC 18:1
IK_JYGXADMDTFJGBT-VWUMJDOOSA-N,Hydrocortisone,Hydrocortisone | Cortisol,JYGXADMDTFJGBT-VWUMJDOOSA-N,C21H30O5,3,3,3,0,0.36466506666666665,0.275007048,0.5959539,0.0165,33485385 | MTBLS11904 | ST003159,Up in PD,1,FALSE,TRUE,Hydrocortisone
IK_LSOWKZULVQWMLY-APPDJCNMSA-N,LPC 22:6,"LPC 22:6 | LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",LSOWKZULVQWMLY-APPDJCNMSA-N,C30H50NO7P,3,3,3,0,0.30553333666666666,0.286881148,0.463622457,0.00659,37755270 | 38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE,LPC 22:6
IK_YYQVCMMXPIJVHY-ZOIJLGJPSA-N,LPC 20:2,"LPC 20:2 | LysoPC(20:2(11Z,14Z)/0:0)",YYQVCMMXPIJVHY-ZOIJLGJPSA-N,C28H54NO7P,3,3,3,0,0.2854595506666667,0.263034406,0.381837084,0.00732,37755270 | 38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE,LPC 20:2
IK_AHLPHDHHMVZTML-UHFFFAOYSA-N,Ornithine,Ornithine,AHLPHDHHMVZTML-UHFFFAOYSA-N,C5H12N2O2,3,3,2,1,0.21936549833333335,0.325117103,0.405365059,NA,34577635 | MTBLS11904 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE,Ornithine
IK_ZQPPMHVWECSIRJ-KTKRTIGZSA-N,Oleic acid,Oleic acid | FFA 18:1,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,C18H34O2,3,3,2,1,0.185467196,0.386074483,0.4922552,0.0199,33485385 | MTBLS11904 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE,Oleic acid
IK_ONIBWKKTOPOVIA-UHFFFAOYNA-N,Proline,Proline,ONIBWKKTOPOVIA-UHFFFAOYNA-N,C5H9NO2,3,3,3,0,0.10100871833333333,0.067534798,0.189033824,0.0401,33485385 | ST001814 | ST003159,Up in PD,1,FALSE,TRUE,Proline
IK_WHBMMWSBFZVSSR-UHFFFAOYSA-N,3-Hydroxybutyric acid,3-Hydroxybutyric acid,WHBMMWSBFZVSSR-UHFFFAOYSA-N,C4H8O3,3,3,2,1,0.027905745000000023,0.117563035,1.070966521,0.00934,38720721 | MTBLS11904 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE,3-Hydroxybutyric acid
IK_OYHQOLUKZRVURQ-HZJYTTRNSA-N,Linoleic acid,Linoleic acid | C18:2,OYHQOLUKZRVURQ-HZJYTTRNSA-N,C18H32O2,3,3,2,1,-0.009196920333333322,0.321928095,0.854648614,3.06e-4,34577635 | 38720721 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE,Linoleic acid
IK_QIVBCDIJIAJPQS-VIFPVBQESA-N,Tryptophan,Tryptophan | L-Tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,C11H12N2O2,3,3,2,1,-0.012536918333333332,0.144304556,0.380821784,3.35e-5,38720721 | MTBLS11904 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE,Tryptophan
IK_WHUUTDBJXJRKMK-VKHMYHEASA-N,Glutamic acid,Glutamic acid | L-Glutamic Acid | L-Glutamate | L-Glutamic Acid - H2O,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4,3,3,2,1,-0.06433726399999998,0.102613792,1.120294234,4e-6,37755270 | ST001814 | ST003159,Up in PD,0.6666666666666666,TRUE,TRUE,Glutamic acid
IK_XGILAAMKEQUXLS-UHFFFAOYSA-N,Indolelactic acid,Indolelactic acid,XGILAAMKEQUXLS-UHFFFAOYSA-N,C11H11NO3,3,3,2,1,-0.07234603666666665,0.029731256,0.304006187,0.0109,33485385 | MTBLS11904 | ST003159,Up in PD,0.6666666666666666,TRUE,TRUE,Indolelactic acid
IK_BKAJNAXTPSGJCU-UHFFFAOYSA-N,4-Methyl-2-oxovaleric Acid,4-Methyl-2-oxovaleric Acid | Ketoleucine | 2-ketoisocaproic acid,BKAJNAXTPSGJCU-UHFFFAOYSA-N,C6H10O3,3,3,2,1,-0.08307469166666667,0.070207949,0.457989645,3.6e-6,38720721 | MTBLS11904 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE,4-Methyl-2-oxovaleric Acid
IK_LEHOTFFKMJEONL-UHFFFAOYSA-N,Uric acid,Uric acid,LEHOTFFKMJEONL-UHFFFAOYSA-N,C5H4N4O3,3,3,2,1,-0.09364141499999999,0.027135646,0.345564459,1.22e-5,38720721 | MTBLS11904 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE,Uric acid
IK_FDGQSTZJBFJUBT-UHFFFAOYSA-N,Hypoxanthine,Hypoxanthine,FDGQSTZJBFJUBT-UHFFFAOYSA-N,C5H4N4O,3,3,2,1,-0.5424594943333334,0.20669198,2.042753986,1e-4,ACS1517 | MTBLS11904 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE,Hypoxanthine
IK_ZDXPYRJPNDTMRX-VKHMYHEASA-N,Glutamine,Glutamine | L-Glutamine,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3,3,3,2,1,-1.1620393693333333,0.071122855,4.689287619,7.5e-5,38516193 | MTBLS11904 | ST001814,Up in PD,0.6666666666666666,TRUE,TRUE,Glutamine
IK_NZKRYJGNYPYXJZ-UHFFFAOYSA-N,Dopamine 3-O-sulfate,"Dopamine 3-O-sulfate | Dopamine 3-O-sulfate2,3",NZKRYJGNYPYXJZ-UHFFFAOYSA-N,C8H11NO5S,2,2,2,0,9.12759539,9.12759539,13.04351745,NA,MTBLS11904 | ST003159,Up in PD,1,FALSE,TRUE,Dopamine 3-O-sulfate
