from,to,weight,from_name,to_name
IK_COLNVLDHVKWLRT-QMMMGPOBSA-N,IK_COLNVLDHVKWLRT-UHFFFAOYNA-N,1.0279706790123457,L-Phenylalanine,Phenylalanine
IK_COLNVLDHVKWLRT-UHFFFAOYNA-N,IK_COLNVLDHVKWLRT-QMMMGPOBSA-N,1.0279706790123457,Phenylalanine,L-Phenylalanine
IK_WWZKQHOCKIZLMA-UHFFFAOYSA-N,IK_IPCSVZSSVZVIGE-UHFFFAOYSA-N,1.0204081632653061,Caprylic acid,Palmitic acid
IK_POULHZVOKOAJMA-UHFFFAOYSA-N,IK_WWZKQHOCKIZLMA-UHFFFAOYSA-N,1.0204081632653061,lauric acid,Caprylic acid
IK_TUNFSRHWOTWDNC-UHFFFAOYSA-N,IK_WWZKQHOCKIZLMA-UHFFFAOYSA-N,1.0204081632653061,Myristic acid,Caprylic acid
IK_TUNFSRHWOTWDNC-UHFFFAOYSA-N,IK_POULHZVOKOAJMA-UHFFFAOYSA-N,1.0204081632653061,Myristic acid,lauric acid
IK_IPCSVZSSVZVIGE-UHFFFAOYSA-N,IK_TUNFSRHWOTWDNC-UHFFFAOYSA-N,1.0204081632653061,Palmitic acid,Myristic acid
IK_TUNFSRHWOTWDNC-UHFFFAOYSA-N,IK_IPCSVZSSVZVIGE-UHFFFAOYSA-N,1.0204081632653061,Myristic acid,Palmitic acid
IK_IPCSVZSSVZVIGE-UHFFFAOYSA-N,IK_POULHZVOKOAJMA-UHFFFAOYSA-N,1.0204081632653061,Palmitic acid,lauric acid
IK_POULHZVOKOAJMA-UHFFFAOYSA-N,IK_GHVNFZFCNZKVNT-UHFFFAOYSA-N,1.0204081632653061,lauric acid,Capric acid
IK_GHVNFZFCNZKVNT-UHFFFAOYSA-N,IK_WWZKQHOCKIZLMA-UHFFFAOYSA-N,1.0204081632653061,Capric acid,Caprylic acid
IK_POULHZVOKOAJMA-UHFFFAOYSA-N,IK_IPCSVZSSVZVIGE-UHFFFAOYSA-N,1.0204081632653061,lauric acid,Palmitic acid
IK_WWZKQHOCKIZLMA-UHFFFAOYSA-N,IK_GHVNFZFCNZKVNT-UHFFFAOYSA-N,1.0204081632653061,Caprylic acid,Capric acid
