entity_id,pathway_betweenness,canonical_metabolite,PD_score,pathway_degree
IK_LCTONWCANYUPML-UHFFFAOYSA-N,0.022553897180762852,Pyruvic Acid,54.782060552938,15
IK_DHMQDGOQFOQNFH-UHFFFAOYSA-N,0.020563847429519073,Glycine,68.21205690776,14
IK_HVYWMOMLDIMFJA-DPAQBDIFSA-N,0.008291873963515755,Cholesterol,68.0539743307016,7
IK_AYFVYJQAPQTCCC-GBXIJSLDSA-N,0.008291873963515755,L-Threonine,64.552925833774,7
IK_IPCSVZSSVZVIGE-UHFFFAOYSA-N,0.00619126589275843,Palmitic acid,81.3743905684111,7
IK_MTCFGRXMJLQNBG-REOHCLBHSA-N,0.0029850746268656717,L-Serine,52.7764753361288,9
IK_YDNKGFDKKRUKPY-TURZORIXSA-N,0.0026533996683250414,C16-Ceramide,73.5295205251351,9
IK_YYQVCMMXPIJVHY-ZOIJLGJPSA-N,0.0026533996683250414,LPC 20:2,57.3539509614984,9
IK_KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.0015478164731896075,Succinic acid,58.6186537619764,10
IK_AGPKZVBTJJNPAG-UHFFFAOYNA-N,0.0014372581536760641,Isoleucine,61.6316935340438,3
IK_JQXBETDGCMQLMK-UHFFFAOYSA-N,0.0014372581536760641,"3,4-Dihydroxyphenylacetone",100.0,3
IK_GPWHCUUIQMGELX-VHQDNGOZSA-N,0.0004422332780541735,PC 32:2,72.2472471547624,9
IK_JPIJQSOTBSSVTP-GBXIJSLDSA-N,0.0004422332780541735,isothreonic acid,53.6621363954326,9
IK_FHUAYOMRHXZKHT-JUGJLYODSA-N,0.0004422332780541735,PC 40:4,66.3678688600394,9
IK_WQZGKKKJIJFFOK-GASJEMHNSA-N,0.0003316749585406302,glucose,57.4969561065655,3
IK_VZCYOOQTPOCHFL-OWOJBTEDSA-N,0.0001105583195135434,fumaric acid,62.737393014215,8
IK_ODBLHEXUDAPZAU-UHFFFAOYSA-N,0.0,isocitric acid,48.6540946358599,7
IK_KXGVEGMKQFWNSR-LLQZFEROSA-N,0.0,deoxycholic acid,61.5862616706389,4
IK_RJZVWDTYEWCUAR-JOCHJYFZSA-N,0.0,LPC 15:0,64.9018493577773,1
IK_GOMVPVRDBLLHQC-VEJNOCSESA-N,0.0,LPC 20:4,53.8012841263838,8
IK_SRRQPVVYXBTRQK-XMMPIXPASA-N,0.0,PC(17:0/0:0),58.1393708321196,3
IK_OSJPPGNTCRNQQC-UHFFFAOYSA-N,0.0,3-phosphoglycerate,66.1949487444956,7
IK_QIQXTHQIDYTFRH-UHFFFAOYSA-N,0.0,Stearic acid,63.0717532440888,2
IK_POULHZVOKOAJMA-UHFFFAOYSA-N,0.0,lauric acid,61.4676030219998,3
IK_JVTAAEKCZFNVCJ-UHFFFAOYSA-N,0.0,Lactic acid,50.7585345854942,5
IK_BJEPYKJPYRNKOW-UHFFFAOYSA-N,0.0,malic acid,59.3091922425999,8
IK_QNAYBMKLOCPYGJ-REOHCLBHSA-N,0.0,L-Alanine,61.9227483044688,3
IK_GFNYAPAJUNPMGH-QNEBEIHSSA-N,0.0,"5,6-dihydroxy-8Z,11Z,14Z-eicosatrienoic acid",47.4866967841469,3
IK_JYGXADMDTFJGBT-VWUMJDOOSA-N,0.0,Hydrocortisone,62.4681835280285,3
IK_ONIBWKKTOPOVIA-BYPYZUCNSA-N,0.0,L-Proline,54.5422179211332,2
IK_RBNPOMFGQQGHHO-UHFFFAOYSA-N,0.0,glyceric acid,50.1592409415947,8
IK_HTZINLFNXLXRBC-CQLBIITFSA-N,0.0,PC(P-16:0/0:0),63.3564963609672,8
IK_HXEACLLIILLPRG-UHFFFAOYSA-N,0.0,Pipecolic acid,62.1210348354285,2
IK_YGPSJZOEDVAXAB-UHFFFAOYSA-N,0.0,Kynurenine,65.0145715415452,2
IK_SRRQPVVYXBTRQK-UHFFFAOYSA-N,0.0,LPC 17:0,57.9342795491323,8
IK_ZHRLECIZINSPKL-AKGZTFGVSA-N,0.0,L-Cysteinylglycine disulfide,65.2986080785213,8
IK_UHDGCWIWMRVCDJ-XVFCMESISA-N,0.0,melatonin,63.79428942192,2
IK_HXEACLLIILLPRG-YFKPBYRVSA-N,0.0,L-Pipecolic acid,61.8661147902691,2
IK_ODHCTXKNWHHXJC-VKHMYHEASA-N,0.0,L-Pyroglutamic acid,51.9156735853887,1
IK_VYFYYTLLBUKUHU-UHFFFAOYSA-N,0.0,Dopamine,64.6846116934529,3
IK_UYUXSRADSPPKRZ-SKNVOMKLSA-N,0.0,D-Glucuronolactone,60.3666437991453,1
IK_XOAAWQZATWQOTB-UHFFFAOYSA-N,0.0,Taurine,64.4772064085039,4
IK_ZIYVHBGGAOATLY-UHFFFAOYSA-N,0.0,Methylmalonic Acid,54.600227599418,2
IK_ONIBWKKTOPOVIA-UHFFFAOYNA-N,0.0,Proline,73.2459179053085,2
IK_RCNSAJSGRJSBKK-NSQVQWHSSA-N,0.0,Biliverdin,73.8574016513163,1
IK_FDGQSTZJBFJUBT-UHFFFAOYSA-N,0.0,Hypoxanthine,81.1003253524002,1
