entity_id,n_pathways,canonical_metabolite,PD_score
IK_LCTONWCANYUPML-UHFFFAOYSA-N,10,Pyruvic Acid,54.782060552938
IK_DHMQDGOQFOQNFH-UHFFFAOYSA-N,7,Glycine,68.21205690776
IK_KDYFGRWQOYBRFD-UHFFFAOYSA-N,6,Succinic acid,58.6186537619764
IK_MTCFGRXMJLQNBG-REOHCLBHSA-N,6,L-Serine,52.7764753361288
IK_IPCSVZSSVZVIGE-UHFFFAOYSA-N,5,Palmitic acid,81.3743905684111
IK_WQZGKKKJIJFFOK-GASJEMHNSA-N,5,glucose,57.4969561065655
IK_VZCYOOQTPOCHFL-OWOJBTEDSA-N,5,fumaric acid,62.737393014215
IK_RBNPOMFGQQGHHO-UHFFFAOYSA-N,4,glyceric acid,50.1592409415947
IK_GPWHCUUIQMGELX-VHQDNGOZSA-N,4,PC 32:2,72.2472471547624
IK_JPIJQSOTBSSVTP-GBXIJSLDSA-N,4,isothreonic acid,53.6621363954326
IK_FHUAYOMRHXZKHT-JUGJLYODSA-N,4,PC 40:4,66.3678688600394
IK_OSJPPGNTCRNQQC-UHFFFAOYSA-N,3,3-phosphoglycerate,66.1949487444956
IK_BJEPYKJPYRNKOW-UHFFFAOYSA-N,3,malic acid,59.3091922425999
IK_HVYWMOMLDIMFJA-DPAQBDIFSA-N,3,Cholesterol,68.0539743307016
IK_XOAAWQZATWQOTB-UHFFFAOYSA-N,2,Taurine,64.4772064085039
IK_ODBLHEXUDAPZAU-UHFFFAOYSA-N,2,isocitric acid,48.6540946358599
IK_YDNKGFDKKRUKPY-TURZORIXSA-N,2,C16-Ceramide,73.5295205251351
IK_AYFVYJQAPQTCCC-GBXIJSLDSA-N,2,L-Threonine,64.552925833774
IK_YYQVCMMXPIJVHY-ZOIJLGJPSA-N,2,LPC 20:2,57.3539509614984
IK_JVTAAEKCZFNVCJ-UHFFFAOYSA-N,2,Lactic acid,50.7585345854942
IK_JQXBETDGCMQLMK-UHFFFAOYSA-N,2,"3,4-Dihydroxyphenylacetone",100.0
IK_QNAYBMKLOCPYGJ-REOHCLBHSA-N,2,L-Alanine,61.9227483044688
IK_AGPKZVBTJJNPAG-UHFFFAOYNA-N,2,Isoleucine,61.6316935340438
IK_HNDVDQJCIGZPNO-YFKPBYRVSA-N,2,Histidine,66.8240163457054
IK_GUBGYTABKSRVRQ-QKKXKWKRSA-N,2,lactose,57.335390757154
IK_COLNVLDHVKWLRT-QMMMGPOBSA-N,2,L-Phenylalanine,68.3099617100014
IK_HXEACLLIILLPRG-YFKPBYRVSA-N,1,L-Pipecolic acid,61.8661147902691
IK_FDGQSTZJBFJUBT-UHFFFAOYSA-N,1,Hypoxanthine,81.1003253524002
IK_RYYVLZVUVIJVGH-UHFFFAOYSA-N,1,Caffeine,49.1495245030109
IK_SRRQPVVYXBTRQK-UHFFFAOYSA-N,1,LPC 17:0,57.9342795491323
IK_SRRQPVVYXBTRQK-XMMPIXPASA-N,1,PC(17:0/0:0),58.1393708321196
IK_UHDGCWIWMRVCDJ-XVFCMESISA-N,1,melatonin,63.79428942192
IK_UYUXSRADSPPKRZ-SKNVOMKLSA-N,1,D-Glucuronolactone,60.3666437991453
IK_VYFYYTLLBUKUHU-UHFFFAOYSA-N,1,Dopamine,64.6846116934529
IK_WWZKQHOCKIZLMA-UHFFFAOYSA-N,1,Caprylic acid,67.3298987026588
IK_DUYSYHSSBDVJSM-KRWOKUGFSA-N,1,Sphingosine-1-phosphate,57.0946103961465
IK_RCNSAJSGRJSBKK-NSQVQWHSSA-N,1,Biliverdin,73.8574016513163
IK_CGQCWMIAEPEHNQ-UHFFFAOYSA-N,1,Vanillylmandelic acid,96.3638167447431
IK_YGPSJZOEDVAXAB-UHFFFAOYSA-N,1,Kynurenine,65.0145715415452
IK_YSMODUONRAFBET-UHNVWZDZSA-N,1,5-Hydroxylysine,66.1518557622944
IK_BHYOQNUELFTYRT-DPAQBDIFSA-N,1,cholesterol 3-sulfate,60.1348756207098
IK_ZHRLECIZINSPKL-AKGZTFGVSA-N,1,L-Cysteinylglycine disulfide,65.2986080785213
IK_RJZVWDTYEWCUAR-JOCHJYFZSA-N,1,LPC 15:0,64.9018493577773
IK_GFNYAPAJUNPMGH-QNEBEIHSSA-N,1,"5,6-dihydroxy-8Z,11Z,14Z-eicosatrienoic acid",47.4866967841469
IK_HXEACLLIILLPRG-UHFFFAOYSA-N,1,Pipecolic acid,62.1210348354285
IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N,1,3-Indolepropionic acid,66.7356442843531
IK_HTZINLFNXLXRBC-CQLBIITFSA-N,1,PC(P-16:0/0:0),63.3564963609672
IK_JYGXADMDTFJGBT-VWUMJDOOSA-N,1,Hydrocortisone,62.4681835280285
IK_HEBKCHPVOIAQTA-QWWZWVQMSA-N,1,lyxitol,58.4376885397978
IK_KXGVEGMKQFWNSR-LLQZFEROSA-N,1,deoxycholic acid,61.5862616706389
IK_MBMBGCFOFBJSGT-KUBAVDMBSA-N,1,Docosahexaenoic Acid,96.3285996020924
IK_GOMVPVRDBLLHQC-VEJNOCSESA-N,1,LPC 20:4,53.8012841263838
IK_ODHCTXKNWHHXJC-VKHMYHEASA-N,1,L-Pyroglutamic acid,51.9156735853887
