entity_id,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24
IK_AADLTHQNYQJHQV-SVLGDMRNSA-N,-2.0754673,1.2008175,0.92467445,0.9834593,-1.1051366,-2.0554895,-0.26347673,0.55464804,-3.7080188,0.5607704,-0.14803286,-1.6921403,-0.5659921,1.4213662,-0.36216646,-2.0178053,-1.3322152,-2.1782424,-1.3793828,0.25128394,0.625734,1.2505686,-3.4557204,0.60588413
IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N,2.5300071,0.18840438,0.87681,1.9664384,0.7218773,2.18061,-1.2891297,3.1736176,-1.3538426,-0.27775633,3.0594876,0.8439946,1.3028357,-2.240457,-1.261268,-2.631217,-0.24456003,-3.9462647,-1.0018902,0.7103484,0.55615854,-0.34148675,-2.5702899,0.93706924
IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N,-1.0199447,1.9317828,-0.81878203,-0.09532841,0.18108734,-1.1521983,1.0187882,-1.4222026,-1.7374882,-3.2723625,-0.32300985,-2.6419115,-1.7184967,1.6016243,0.42849258,1.5483507,-0.23795447,1.7320029,-0.69838315,0.31564772,2.6861951,-0.39654818,-1.3028657,0.0875464
IK_ABDMBNAKYBUEEX-QCLAVDOMSA-N,0.71908957,1.6598766,1.2615299,0.15907821,-1.107571,-0.65535337,-0.3264285,0.593534,-0.030738883,-1.5109333,0.8644795,-0.7063105,-3.0323129,-0.11199101,-2.1905098,-0.6024452,3.0479245,1.4440466,-1.0346932,0.35866168,4.1764584,-1.3401614,-0.13488734,2.5339227
IK_ABFZMYIIUREPLL-ASWJIRIHSA-N,-0.31845433,-0.48677206,-2.888858,-1.2177079,2.156993,2.3376327,0.92802435,-1.1570091,-1.0030297,-0.2867625,-1.8491489,-2.2691348,0.63010883,-1.3198022,3.3910604,0.42231965,-1.6008272,-1.0493264,-0.38591757,-1.5384936,-2.5494807,2.4628952,-3.0553746,-3.4483943
IK_ABOLXXZAJIAUGR-JPMMFUSZSA-N,-0.6662545,0.79568166,-0.92675775,0.10681878,0.700509,-0.43562004,1.1411817,-1.8864064,-1.4611492,-2.6465719,-0.7148399,-3.420032,-1.8955897,0.20063637,0.10973777,1.9544848,-0.3191598,1.506869,0.47274172,0.17832045,1.8739308,-0.2408906,-1.9918522,-0.29798913
IK_ABXDBVMGRKZFRC-IOSLPCCCSA-N,-2.6485171,-1.8055868,2.3014638,0.8258019,-1.3620793,-4.2294626,-0.83054805,-0.52686155,1.5870852,3.4980164,-0.16242826,1.0913883,0.76683724,2.430783,-2.7684686,-0.5855349,0.8654998,0.73539644,0.12967247,0.96078306,0.19346829,-1.5757517,3.4937239,2.8564892
IK_ACSFOIGNUQUIGE-AIPUTVCKSA-N,-0.0252183,0.38959774,-3.170662,-1.957504,2.1364892,2.6951275,1.0271757,-0.8529303,-0.32748455,-0.6944871,-1.4876035,-0.68145084,1.1276091,-0.2458086,4.2303677,-0.18424216,-1.1250923,-0.32545343,-1.5814232,-1.2851644,-2.319874,2.6705413,-1.5927559,-3.6120915
IK_ACVGWSKVRYFWRP-UHFFFAOYSA-N,6.176287,-0.458361,0.055138633,1.0837879,2.7139316,6.842448,-1.1090972,3.070165,2.426653,-0.28171557,1.5771686,4.006095,1.7785251,-4.183284,1.8000005,-2.2795973,1.1915224,-3.1315527,-0.5795502,-0.04460665,-1.319511,0.94000334,-1.0603294,-0.39422783
IK_ACXPNSWGVZLPRG-UHFFFAOYSA-N,-1.6032795,0.785883,0.4477026,-1.1990894,-2.3061473,1.2249699,-1.4754655,0.41005504,-1.5718824,-0.034187973,-2.1993387,0.09601572,-1.5603573,-0.16266252,0.43568692,-0.23346327,0.2769689,1.3261232,0.11930524,-2.4084628,-0.9822243,1.6537012,-2.0103886,-0.44181335
