entity_id,canonical_metabolite,predicted_primary_pathway,confidence,has_fingerprint,has_study,has_adduct,has_platform,has_mz,has_cross
IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N,Diazepam,One carbon pool by folate,0.068662256,1,1,0,1,1,1
IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N,Quinic Acid,Ascorbate and aldarate metabolism,0.32701764,1,1,0,1,1,1
IK_ABDMBNAKYBUEEX-QCLAVDOMSA-N,Ecgonine Ethyl Ester,Drug metabolism - cytochrome P450,0.054797046,1,1,0,1,1,1
IK_ABXDBVMGRKZFRC-IOSLPCCCSA-N,3'-O-Methylinosine,Sphingolipid metabolism,0.76170826,1,1,1,1,1,1
IK_ACVGWSKVRYFWRP-UHFFFAOYSA-N,Rutaecarpine,Pyrimidine metabolism,0.10625402,1,1,0,1,1,1
IK_ACXPNSWGVZLPRG-UHFFFAOYSA-N,3-Hydroxyeicosanoylcarnitine,Sphingolipid metabolism,0.3881136,1,1,1,1,1,1
IK_ADEORFBTPGKHRP-UHFFFAOYSA-N,"1H-Pyrrole-2,5-dione, 1-[7-(dimethylamino)-4-methyl-2-oxo-2H-1-benzopyran-3-yl]-",Linoleic acid metabolism,0.062181346,1,1,1,1,1,1
IK_ADFXKUOMJKEIND-UHFFFAOYSA-N,"N,N'-Dicyclohexylurea",Citrate cycle (TCA cycle),0.114185825,1,1,0,1,1,1
IK_ADHNYKZHPOEULM-BQBZGAKWSA-N,Met-Glu,Linoleic acid metabolism,0.5058198,1,1,0,1,1,1
IK_ADUKCCWBEDSMEB-NSHDSACASA-N,Prenalterol,Arginine biosynthesis,0.20128743,1,1,0,1,1,1
IK_ADVNUIUADIXWMI-OLZOCXBDSA-N,"(2-((3,5-Di-t-butyl-4-hydroxyphenyl)thio)-1-methylpropoxy)acetic acid",Sphingolipid metabolism,0.0860528,1,1,1,1,1,1
IK_AEAPORIZZWBIEX-DTBDINHYSA-N,Rostafuroxin,Steroid hormone biosynthesis,0.30771565,1,1,0,1,1,1
IK_AEESIZVTDUAOEG-MWQVBOBVSA-N,"Pentadeca-3,6,9-trienedioylcarnitine",Sphingolipid metabolism,0.90345365,1,1,0,1,1,1
IK_AEFNZGGBWOQYID-KQPZCCJBSA-N,Demethylphylloquinol,Retinol metabolism,0.13302697,1,1,0,1,1,1
IK_AEMOLEFTQBMNLQ-AQKNRBDQSA-N,D-Glucuronic Acid,Ascorbate and aldarate metabolism,0.85021156,1,1,1,1,1,1
IK_AEMOLEFTQBMNLQ-QIUUJYRFSA-N,Beta-D-Glucopyranuronic acid,Ascorbate and aldarate metabolism,0.6872279,1,1,0,1,1,1
IK_AEOYRSISBCASMX-UHFFFAOYSA-N,4-Phenylbutanoylcarnitine,Fatty acid degradation,0.30367073,1,1,0,1,1,1
IK_AEURJYQWJBBJDQ-RRSKNPHNSA-N,PC(22:1(13Z)/LTE4),Linoleic acid metabolism,0.6718525,1,1,0,1,1,1
IK_AFKRZUUZFWTBCC-WSTZPKSXSA-N,Penethamate,Sphingolipid metabolism,0.07461508,1,1,0,1,1,1
IK_AFKYRGZSSLJQQW-NOFZOIBWSA-N,SM d41:5,Glycerophospholipid metabolism,0.28144106,1,1,0,0,0,1
IK_AFSHUZFNMVJNKX-CLFAGFIQSA-N,DG 18:1_18:1,Glycerophospholipid metabolism,0.59413713,1,1,0,0,0,1
IK_AFWBWPCXSWUCLB-WDSKDSINSA-N,Pro-Ser,Glycerophospholipid metabolism,0.095057346,1,1,0,0,0,1
IK_AFWKBSMFXWNGRE-ONEGZZNKSA-N,Dehydrozingerone,Phenylalanine metabolism,0.07392567,1,1,0,1,1,1
IK_AFWVBXLXFDAISA-GPRPIQDKSA-N,Eriojaposide B,Linoleic acid metabolism,0.20409347,1,1,0,1,1,1
IK_AGBQKNBQESQNJD-SSDOTTSWSA-N,Lipoic acid,Citrate cycle (TCA cycle),0.08010541,1,1,0,0,0,1
IK_AGGWFDNPHKLBBV-YUMQZZPRSA-N,Val-Cit,Glycerophospholipid metabolism,0.19850826,1,1,0,1,1,1
IK_AGLLGVGIYDAODS-PVCMTRMKSA-N,PC 42:6,Linoleic acid metabolism,0.9924109,1,1,0,0,0,1
