entity_id,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24
IK_AADLTHQNYQJHQV-SVLGDMRNSA-N,-0.20121351,-1.1067847,1.2539798,0.8238422,-0.34739143,1.280541,0.023719594,-0.34207833,1.5780969,0.3304768,-0.69644827,-1.331958,1.1290787,0.43611187,-0.380052,0.72244376,0.411352,0.007992595,-0.3466311,1.0711112,0.4328478,0.44632438,-1.2673033,-1.7572082
IK_AAOVKJBEBIDNHE-UHFFFAOYSA-N,0.15487999,-0.47567746,0.5806044,-0.38609773,-0.040435836,0.06205843,-0.20121136,-0.07474731,0.060334846,0.22928254,0.12162459,0.24429402,0.12599243,0.10337694,-0.11336887,0.47720978,-0.23938462,0.7415485,0.40530953,0.11586003,-0.2575518,0.3203593,0.08231798,-0.72627175
IK_AAWZDTNXLSGCEK-LNVDRNJUSA-N,-0.19283575,-1.413153,0.23517668,-2.0252118,-0.43650484,-0.6844539,-1.7725716,1.6688186,0.32670796,-0.07554578,1.9895353,-0.093182646,-0.86660117,-0.24529208,1.2120258,1.1391644,-2.0265982,0.9094173,0.6697146,-0.3197241,-0.7629274,-0.069825165,-0.607059,1.3407831
IK_ABDMBNAKYBUEEX-QCLAVDOMSA-N,0.08004789,-0.14162192,0.3835624,-0.34771043,-0.30750084,-0.29990408,-0.18184519,0.520807,-0.20780182,-0.35890877,0.9972101,0.15838686,0.18105319,0.05410204,-0.16564366,1.009789,-0.06416971,-0.02645813,0.62459385,-0.03248604,-0.61542577,0.26982406,0.09925336,-0.13226342
IK_ABFZMYIIUREPLL-ASWJIRIHSA-N,-4.8324747,-1.210544,0.22499838,-4.6055436,-1.013625,1.7320843,-5.666108,8.888578,-0.24707602,-3.2367017,7.3233547,-2.8230011,1.085272,-1.1865857,5.946135,3.1865427,-3.475422,-2.7424083,-1.6760566,2.9710224,0.7966248,-3.9700975,-6.4490952,6.55615
IK_ABOLXXZAJIAUGR-JPMMFUSZSA-N,-5.289865,-1.868829,0.9563352,-7.5002003,0.36570024,1.7099562,-7.09929,10.105919,-1.1233641,-2.3899438,7.969123,-1.5125617,1.5550476,-1.2668984,7.0976253,3.6859527,-4.211001,-0.5165218,-1.9273933,4.057046,1.01594,-4.9391775,-6.7364993,6.6795907
IK_ABXDBVMGRKZFRC-IOSLPCCCSA-N,-1.1001521,-1.5479742,4.0675764,-0.08531548,0.94283867,3.0264308,-0.79044306,-1.4650472,2.0166724,1.9181415,-1.0092658,0.52503526,4.761979,2.515169,-1.4404694,1.8482075,2.378024,1.4879256,-1.0628198,3.7414145,0.9779527,0.40714088,-1.4034617,-5.912629
IK_ACSFOIGNUQUIGE-AIPUTVCKSA-N,-2.4113593,-3.8832052,-3.3265004,2.964075,-5.99544,-2.080412,-1.6487405,1.0609819,4.3136096,-3.593237,4.420565,-6.413799,-4.229488,-0.27319264,0.8746614,0.31619087,-4.7975674,-5.3078556,0.11292727,-3.8349388,-2.4803214,2.5155303,-0.99598885,5.8018436
IK_ACVGWSKVRYFWRP-UHFFFAOYSA-N,-0.5822251,0.02664768,-0.14603513,0.9948889,-0.87718886,0.074191034,0.25039655,0.48460692,-0.04910639,-1.0869652,0.8721142,-0.8873378,0.31503958,-0.32691252,0.09120479,0.59628004,0.12625298,-1.3053424,0.09095804,-0.05347981,-0.5165382,-0.14556633,-0.24530092,0.37223065
IK_ACXPNSWGVZLPRG-UHFFFAOYSA-N,-0.30627602,-1.0311761,1.3009964,0.31687903,-0.44562858,0.84647894,-0.1771004,0.1588982,1.3275197,0.19973822,0.20823202,-1.0766367,1.1698427,0.5993494,-0.59105074,1.5479133,0.32003513,0.035043545,0.17188978,1.0581477,0.04632117,0.6235191,-1.1509187,-1.7509439
IK_ADEORFBTPGKHRP-UHFFFAOYSA-N,-0.21881366,-0.1823083,0.034787644,-0.2547677,0.042202152,0.35962868,-0.32574102,0.42917857,-0.11135553,0.014381959,-0.016728714,-0.37698007,-0.056276344,-0.49944836,0.58835673,0.07407752,-0.2733587,0.26784474,-0.10626214,0.29290783,0.104761064,-0.2849448,-0.3931666,0.3088891
IK_ADFXKUOMJKEIND-UHFFFAOYSA-N,0.6119472,-0.11947304,0.43075946,0.09599368,-0.7063111,-1.0076842,0.58819735,0.007836639,-0.32553858,-0.7471169,1.2469648,0.22368264,-0.40646607,0.048225522,-0.88591194,1.2196131,-0.073284544,-0.35135847,1.0710317,-0.7354817,-1.4062032,1.1589596,1.2457838,-0.4590413
IK_ADHNYKZHPOEULM-BQBZGAKWSA-N,0.107612595,-1.4096059,0.05748811,-1.0075653,-0.33183366,-0.13801527,-0.82500756,0.66506004,0.8957273,0.65018797,-0.013104327,-0.6059445,-1.2908734,-0.4384196,0.7522138,0.2497036,-1.8491849,1.3800627,0.59642833,-0.4653299,-0.055563338,0.24292059,-0.42792475,0.53214014
IK_ADQUXZRKOKKULD-CZOXBATISA-N,-0.18712848,-0.45623142,-0.26484704,0.28560486,-0.56887513,0.23564352,-0.2782186,0.37193635,0.64728653,-0.26157117,0.1397694,-1.2885665,-0.44709772,-0.31824797,0.4581273,0.154817,-0.5572833,-0.4143051,-0.054947726,-0.08756554,-0.037505064,0.14447331,-0.7308758,0.5877809
IK_ADUKCCWBEDSMEB-NSHDSACASA-N,0.91029537,0.046164893,-0.16325763,0.25028905,-0.3574546,-0.6138198,0.79874575,-0.6609447,-0.51475495,-0.27251792,-0.13591096,0.16193567,-1.2356092,-0.52802783,-0.21045366,-0.17960598,-0.44552138,0.17695872,0.57733357,-1.1836334,-0.9031242,0.8653678,1.5022863,0.020008313
IK_ADVNUIUADIXWMI-OLZOCXBDSA-N,-0.19862187,-0.22376826,0.3267853,0.42595288,-0.28641444,0.5060894,0.058233798,0.14451145,0.29594564,-0.056186125,0.003632661,-0.6454079,0.4041897,-0.15011856,-0.006077107,0.53589517,0.17116393,-0.12352191,0.05177649,0.417105,-0.029391311,0.096363366,-0.4042142,-0.5396112
IK_AEAMHDRXCYEOCU-HTDYWKJCSA-N,0.4427175,-2.659233,-1.2130153,-0.7823638,-1.3989108,1.0239993,-1.3596476,1.696592,4.5944395,0.31278527,-1.0144634,-5.4340816,-3.460818,-0.7505535,2.4317107,-0.018634468,-3.962217,-0.26857802,-0.53254265,-0.6915277,1.2225021,1.062292,-4.08635,3.4603724
IK_AEAPORIZZWBIEX-DTBDINHYSA-N,-0.6507188,-0.9624714,-0.32828107,0.8993249,-1.3961095,0.013261043,-0.36250243,0.43063658,1.2300872,-0.77350706,0.9851551,-2.028464,-0.30541566,-0.062248897,0.15171008,0.5412965,-0.720166,-1.1791661,-0.071877204,-0.3110648,-0.46800697,0.52971536,-0.85948896,0.7134004
IK_AEESIZVTDUAOEG-MWQVBOBVSA-N,-1.4010329,-2.1034906,5.0010147,-0.44735125,0.9227499,3.5554662,-1.2506081,-0.19727987,2.7362535,1.8261497,0.20586455,0.24499992,6.3208814,3.4375985,-1.8133634,3.9880645,2.8119195,1.3579559,-0.78146386,4.995447,0.8994522,0.5989693,-2.8490949,-6.7835407
IK_AEFNZGGBWOQYID-KQPZCCJBSA-N,-1.1368476,0.28802368,0.07247399,1.146689,-0.47862548,0.97437656,0.10912512,1.0517268,-0.23662147,-0.9858867,0.5309645,-0.979336,1.1842849,-0.49765074,0.46552062,0.56888694,0.6335969,-1.4246168,-0.42458388,0.9221507,0.22440888,-0.9306606,-1.1134403,0.15331188
IK_AEMOLEFTQBMNLQ-AQKNRBDQSA-N,-1.6094058,-1.0025178,0.698784,-3.4693394,0.071595326,-0.13479722,-2.916931,3.5793045,-0.7322553,-0.82937527,3.6467307,0.4181402,0.48914266,-0.42622674,2.2291934,1.9269464,-1.7789563,0.6040753,0.051250275,1.126301,-0.6002924,-1.5246859,-1.6356729,2.0002055
IK_AEMOLEFTQBMNLQ-QIUUJYRFSA-N,-1.9188511,-0.50423515,0.45403302,-2.48147,0.099724084,0.63192385,-2.3587873,3.5488856,-0.76581687,-1.0410922,2.9106882,-0.1802707,0.84682614,-0.58220106,2.400478,1.415035,-1.2091761,-0.1663866,-0.499756,1.5122374,0.145125,-1.9223431,-2.2168941,2.0970943
