entity_id,true_label,predicted,confidence,"prob__Alanine, aspartate and glutamate metabolism",prob__Amino sugar and nucleotide sugar metabolism,prob__Arachidonic acid metabolism,prob__Arginine and proline metabolism,prob__Arginine biosynthesis,prob__Ascorbate and aldarate metabolism,prob__Biosynthesis of unsaturated fatty acids,prob__Biotin metabolism,prob__Butanoate metabolism,prob__Caffeine metabolism,prob__Citrate cycle (TCA cycle),prob__Cysteine and methionine metabolism,prob__D-Amino acid metabolism,prob__Drug metabolism - cytochrome P450,prob__Drug metabolism - other enzymes,prob__Ether lipid metabolism,prob__Fatty acid biosynthesis,prob__Fatty acid degradation,prob__Folate biosynthesis,prob__Fructose and mannose metabolism,prob__Galactose metabolism,prob__Glutathione metabolism,prob__Glycerolipid metabolism,prob__Glycerophospholipid metabolism,"prob__Glycine, serine and threonine metabolism",prob__Glycolysis or Gluconeogenesis,prob__Glyoxylate and dicarboxylate metabolism,prob__Histidine metabolism,prob__Linoleic acid metabolism,prob__Lysine degradation,prob__Nicotinate and nicotinamide metabolism,prob__One carbon pool by folate,prob__Pantothenate and CoA biosynthesis,prob__Pentose and glucuronate interconversions,prob__Pentose phosphate pathway,prob__Phenylalanine metabolism,"prob__Phenylalanine, tyrosine and tryptophan biosynthesis",prob__Porphyrin metabolism,prob__Primary bile acid biosynthesis,prob__Propanoate metabolism,prob__Purine metabolism,prob__Pyrimidine metabolism,prob__Pyruvate metabolism,prob__Retinol metabolism,prob__Riboflavin metabolism,prob__Sphingolipid metabolism,prob__Starch and sucrose metabolism,prob__Steroid biosynthesis,prob__Steroid hormone biosynthesis,prob__Tryptophan metabolism,prob__Tyrosine metabolism,prob__Ubiquinone and other terpenoid-quinone biosynthesis,"prob__Valine, leucine and isoleucine biosynthesis","prob__Valine, leucine and isoleucine degradation",prob__Vitamin B6 metabolism
IK_AADLTHQNYQJHQV-SVLGDMRNSA-N,Sphingolipid metabolism,Sphingolipid metabolism,0.44349685,0.015193555,0.0010070489,0.030246263,0.00027221508,0.00010610848,0.004668446,0.019612636,0.0015395789,3.666395e-05,0.0007025847,0.00010745656,0.00011986868,1.1365158e-05,0.0005424708,0.00063256203,0.005528489,0.00898172,0.027288947,0.0015436086,0.00061539235,0.0032059057,0.0018284923,3.2909184e-06,0.19161147,0.018205635,0.00034521258,0.00015668638,0.00010221377,0.031531572,0.0001458467,0.0075070728,0.07705431,0.019133845,0.00016539724,0.00012794218,9.834134e-05,6.7304325e-05,0.00032922637,0.0048543164,0.00021945182,0.023876742,0.0001241419,0.00023863128,0.0013407274,0.00041365877,0.44349685,0.00049915334,0.003361087,0.0068619126,0.002894588,0.0019735706,6.6123765e-05,0.0004458719,1.8678813e-05,0.03893781
IK_ADQUXZRKOKKULD-CZOXBATISA-N,Ascorbate and aldarate metabolism,Linoleic acid metabolism,0.19756515,0.009493311,0.003022614,0.0053471476,0.0017805119,0.002468175,0.083291054,0.0012743678,0.005710623,0.0036790227,0.0010919936,0.004222562,0.0007689013,0.0011268512,0.036539007,0.0008055209,0.017263504,0.0022879129,0.037302762,0.013842145,0.0038103783,0.007657357,0.017601112,0.0024672467,0.086348005,0.0046499376,0.003585045,0.0022485403,0.0016215077,0.19756515,0.0021572765,0.013863891,0.014398187,0.013788259,0.0008452887,0.0047462643,0.005502306,0.006062265,0.0041691074,0.06989825,0.0014132189,0.008950403,0.009713963,0.0021323375,0.025764104,0.004143792,0.048686184,0.002612983,0.020975113,0.11271746,0.010906058,0.03195677,0.0027832615,0.00076934404,0.0006653931,0.021506209
IK_AEAMHDRXCYEOCU-HTDYWKJCSA-N,Linoleic acid metabolism,Linoleic acid metabolism,0.977475,6.385743e-07,9.410302e-11,4.205077e-09,2.0716735e-10,1.13305275e-10,0.0022741011,7.584482e-12,3.5056147e-09,1.9529526e-12,5.7863133e-12,1.7238742e-10,1.3358448e-13,3.6672152e-13,2.656382e-05,7.5888155e-14,1.3221487e-06,1.3056009e-11,0.00012107303,5.450887e-08,4.4565976e-11,1.3614753e-09,3.0022324e-08,4.177385e-13,0.015863033,9.149151e-09,2.1457768e-10,7.4225175e-13,2.040339e-12,0.977475,6.961004e-11,1.3751496e-05,7.669804e-08,4.0622103e-06,2.2851997e-14,4.138616e-11,6.3149974e-10,2.4962e-10,1.681677e-11,0.00028847228,1.03454144e-13,1.2369367e-07,1.6876585e-09,2.2645878e-12,4.8084917e-08,8.268731e-11,4.7953563e-05,2.9996676e-12,5.8841124e-07,0.003752521,6.5249868e-09,0.00013034782,1.1433821e-10,1.8937584e-12,1.1158437e-14,1.6622832e-07
IK_AERBNCYCJBRYDG-RGBJRUIASA-N,Sphingolipid metabolism,Sphingolipid metabolism,0.98209125,1.7967954e-05,3.4318642e-08,0.0035551384,3.059814e-11,2.1621056e-12,4.304935e-07,0.0008051534,1.8793626e-08,2.3576025e-13,5.5399394e-08,1.9353544e-12,6.010305e-11,3.873253e-15,1.5909182e-10,2.5794973e-08,8.5765527e-07,6.252486e-06,6.4814645e-05,1.6193795e-08,1.9600017e-09,2.670274e-07,1.1052565e-08,4.4273393e-17,0.006787395,3.4800276e-05,5.8053297e-12,7.80039e-11,8.305179e-12,6.3671646e-06,1.4008849e-11,2.9644623e-06,0.0046646013,5.6205386e-05,2.578506e-10,8.312531e-12,9.841517e-13,6.8717276e-14,2.0840463e-11,7.5186044e-08,1.093843e-09,0.0010536088,5.75647e-13,1.5781101e-10,1.1072521e-09,5.5359276e-11,0.98209125,1.3737723e-09,1.14486824e-07,2.887093e-08,2.6205932e-08,1.4208615e-09,2.4519023e-13,1.2641629e-08,1.2051037e-13,0.0008515225
IK_AGPKZVBTJJNPAG-UHFFFAOYNA-N,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine biosynthesis",0.9923449,0.006597729,1.6558187e-11,3.1839512e-08,4.045258e-07,1.4539107e-10,2.0334595e-14,3.1453973e-09,1.2154077e-12,8.375034e-20,2.4019897e-05,1.1004573e-12,0.00086165324,5.4178394e-12,6.2038964e-24,3.71259e-11,9.105222e-17,9.899272e-12,4.2237674e-26,5.2454247e-19,4.417818e-18,5.1365874e-15,1.5827582e-16,1.0058273e-18,1.3214654e-09,2.9683082e-05,1.3789932e-27,1.3935859e-16,6.048448e-10,3.5830817e-17,2.6946793e-05,6.9704e-13,0.00011453331,6.965546e-10,1.1995119e-09,1.6176712e-19,5.368641e-22,1.3035267e-16,4.0111287e-26,3.4076525e-21,1.7484512e-13,1.1014932e-07,4.8730485e-22,2.6304983e-14,1.5342304e-25,9.770729e-29,1.0399067e-12,9.4022834e-17,2.2584926e-26,5.052796e-19,3.8221874e-14,4.666684e-16,6.0240094e-20,0.9923449,2.6949122e-15,1.817642e-15
IK_AHWXJDWBIIDPKS-TZUVPVEASA-N,Linoleic acid metabolism,Linoleic acid metabolism,0.99162674,2.434466e-08,4.540663e-13,4.6226533e-11,3.2478165e-12,1.2312611e-12,0.0004928741,2.4085295e-14,3.3080937e-11,4.136178e-15,2.1694935e-14,1.7902446e-12,2.2802085e-16,8.994556e-16,2.7864403e-06,6.2558737e-17,4.4848733e-08,5.827611e-14,1.2814202e-05,9.693352e-10,1.0357619e-13,9.1591795e-12,3.8934087e-10,1.2401447e-15,0.006434381,1.5826135e-10,7.45494e-13,1.4107198e-15,6.5001003e-15,0.99162674,4.8366465e-13,1.1859424e-06,1.2947555e-09,2.2085723e-07,2.2592372e-17,1.6558184e-13,7.2576238e-12,3.8504096e-12,4.4499665e-14,4.44502e-05,1.3245656e-16,3.3353216e-09,2.2955225e-11,4.4200195e-15,7.4209316e-10,2.1669058e-13,3.3019908e-06,6.29747e-15,1.30619116e-08,0.0013490238,1.1885239e-10,3.2052114e-05,1.359683e-12,7.127997e-15,1.2231405e-17,2.3462174e-09
IK_ANRKEHNWXKCXDB-BHFWLYLHSA-N,Glycerophospholipid metabolism,Glycerophospholipid metabolism,0.9820915,0.0018079651,2.3201403e-09,9.1336136e-07,5.87816e-07,3.0065864e-10,2.650874e-07,2.3331407e-07,8.327297e-07,2.6849411e-15,3.5765049e-09,5.2656235e-10,1.4860449e-10,1.2673612e-13,4.5806156e-10,5.550448e-10,7.0878755e-06,1.1572481e-08,3.6699996e-07,3.7536843e-08,9.396071e-10,6.1176895e-09,2.3450625e-10,1.753267e-15,0.9820915,0.0016482886,5.775958e-10,1.5734624e-12,3.2051663e-11,0.00031157566,3.9439205e-10,0.0007239865,2.9177087e-05,0.011619749,5.5068285e-12,3.5583455e-12,2.6519938e-13,3.8679313e-11,4.0818758e-11,1.0147719e-06,4.5377298e-13,0.0007047918,7.61044e-12,4.8109346e-12,8.9693634e-11,9.5354575e-12,0.0010274625,4.793248e-12,4.2116937e-09,1.8150517e-05,8.919387e-09,6.037471e-06,9.054115e-12,1.2514601e-08,2.9022517e-14,4.691609e-08
IK_ASWVTGNCAZCNNR-UHFFFAOYSA-N,Pentose and glucuronate interconversions,Linoleic acid metabolism,0.2309156,0.011623873,0.0023532487,0.011656882,0.0017091186,0.0015331863,0.052329518,0.0019768407,0.0049096267,0.00042447762,0.0013331088,0.0017141519,0.0004017036,0.00024038239,0.05873194,0.0007711102,0.02016034,0.0016115388,0.1179221,0.007330204,0.0015731824,0.006022228,0.004198299,0.0001231854,0.100979194,0.0062092887,0.0010596847,0.00052165653,0.00074317586,0.2309156,0.00060463056,0.12650594,0.019112732,0.04583857,0.00029897148,0.0015294944,0.0027259646,0.00044050193,0.001096046,0.017228866,0.00040467278,0.023846058,0.00083565555,0.0011432726,0.0032316262,0.0009282078,0.046058055,0.0011994707,0.008288003,0.01418998,0.003098606,0.008583106,0.0015737977,0.00040184497,0.00023113833,0.019525897
IK_ATHVAWFAEPLPPQ-VRDBWYNSSA-N,Linoleic acid metabolism,Linoleic acid metabolism,0.991629,4.638091e-08,1.8712542e-12,2.892978e-10,8.260629e-12,3.2429834e-12,0.0004306581,2.8578412e-13,1.2167231e-10,1.8612853e-14,1.2384469e-13,4.232036e-12,7.6495434e-16,3.4235304e-15,1.7460676e-05,6.2773823e-16,8.604816e-08,9.448895e-13,8.515357e-05,1.882749e-09,5.0836256e-13,5.3439336e-11,1.1618766e-09,2.3737815e-15,0.006899528,7.561686e-10,2.7267435e-12,1.008495e-14,3.2583938e-14,0.991629,8.5748444e-13,5.209448e-06,7.850357e-09,6.886587e-07,1.295238e-16,1.0197028e-12,5.870966e-11,6.8608405e-12,3.0143853e-13,4.873166e-05,6.20432e-16,1.2475707e-08,4.1201962e-11,2.7286762e-14,1.4330577e-09,7.4099613e-13,1.415945e-05,4.9682484e-14,2.6641937e-08,0.0008502013,4.1706427e-10,1.9122468e-05,7.907148e-12,2.5596799e-14,7.342976e-17,1.5192978e-08
IK_AXZGUCXCTZMPTR-UVGACIQRSA-N,Linoleic acid metabolism,Linoleic acid metabolism,0.95537966,4.5131105e-06,8.73457e-10,3.0028207e-08,4.490046e-09,1.4149727e-09,0.0025028344,1.3252383e-10,2.6489086e-08,1.1637948e-11,9.24548e-11,1.7355399e-09,3.2077542e-12,4.9803542e-12,3.412627e-05,1.3404696e-12,5.229726e-06,1.6011056e-10,0.00019594873,2.3727067e-07,3.2983338e-10,7.554762e-09,6.991842e-08,3.4112253e-12,0.035913695,9.640896e-08,1.9507247e-09,7.076351e-12,3.1727555e-11,0.95537966,7.4415485e-10,7.4807176e-05,3.657016e-07,2.4958194e-05,4.5857355e-13,2.1975287e-10,2.6684002e-09,1.7008877e-09,1.3614558e-10,0.00035992023,1.4984913e-12,8.4043256e-07,7.044056e-09,2.534796e-11,1.2067946e-07,5.627127e-10,9.9718214e-05,2.912473e-11,1.2500597e-06,0.0049696136,3.1773144e-08,0.0004314043,9.363464e-10,3.473999e-11,1.9720143e-13,4.235571e-07
