entity_id,canonical_metabolite,predicted_Class,confidence,has_fingerprint,has_study,has_adduct,has_platform,has_mz,has_cross
IK_ANVLMUZOIWITMQ-UHFFFAOYSA-N,"3-[(1R,2R,3S)-3-Carboxy-1,2,3-trihydroxypropyl]dioxirane-3-carboxylic acid",Hydroxy acids and derivatives,0.859319,1,1,1,1,1,0
IK_ASBJGPTTYPEMLP-UWTATZPHSA-N,3-Chloro-D-alanine,Carboxylic acids and derivatives,0.9983991,1,1,1,1,1,0
IK_ASSAYFMXRNLTCY-UHFFFAOYSA-N,22-Acetylpriverogenin B,Prenol lipids,0.9998203,1,1,1,1,1,0
IK_BBJIPMIXTXKYLZ-UHFFFAOYSA-N,3-Aminopentanedioic Acid,Carboxylic acids and derivatives,0.99927527,1,1,1,1,1,0
IK_BFZDKPVWJYFECC-OFCLATOASA-N,PC aa C34:4,Glycerophospholipids,0.99980694,1,1,0,0,0,1
IK_BOUXQAITXDAJSF-UHFFFAOYSA-N,Sulfasalazine B,Benzene and substituted derivatives,0.9990414,1,1,0,0,0,0
IK_BXRLWGXPSRYJDZ-UHFFFAOYSA-N,3-Cyanoalanine,Carboxylic acids and derivatives,0.999511,1,1,1,1,1,0
IK_BXYPVKMROLGXJI-UHFFFAOYSA-N,N'-nitrosoanabasine,Pyridines and derivatives,0.9775583,1,1,0,1,1,0
IK_CGFRVKXGZRODPA-UHFFFAOYSA-N,3-Acetylphenol sulfate,Organic sulfuric acids and derivatives,0.9840666,1,1,1,1,1,0
IK_CNJGWCQEGROXEE-UHFFFAOYSA-N,"3,5-dichlorosalicylic acid",Benzene and substituted derivatives,0.95666414,1,1,1,1,1,0
IK_DHNSTMIMQCKEPC-UHFFFAOYSA-N,"3,4-Methyleneazelaic acid",Fatty Acyls,0.9946679,1,1,1,1,1,0
IK_DHUAGGSHTKPOHU-UHFFFAOYSA-N,"3,4-Dihydro-9-hydroxy-[1]benzothieno[2,3-f]-1,4-thiazepin-5(2H)-one",Organic sulfuric acids and derivatives,0.19868466,1,1,1,1,1,0
IK_DMNOQQUULVKPTE-UHFFFAOYSA-N,"3,5-dihydroxy-4-(sulfooxy)benzoic acid",Organic sulfuric acids and derivatives,0.9730182,1,1,1,1,1,0
IK_DZAUWHJDUNRCTF-UHFFFAOYSA-N,"3,4-Dihydroxyhydrocinnamic acid",Phenylpropanoic acids,0.9560214,1,1,1,1,1,0
IK_FPTSLKCBYZXNAK-UZYVYHOESA-N,LNAPE 18:1/N-20:0,Glycerophospholipids,0.9983601,1,1,0,0,0,0
IK_FYYIUODUDSPAJQ-XVBQNVSMSA-N,"2-Propenoic acid, 2-methyl-, 7-oxabicyclo[4.1.0]hept-3-ylmethyl ester",Fatty Acyls,0.61268824,1,1,1,1,1,0
IK_GHOKWGTUZJEAQD-UHFFFAOYSA-N,"3-[[(2S)-2,4-Dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid",Organooxygen compounds,0.99887675,1,1,1,1,1,0
